Dataset,ID,strategy ,broad activity ,setting ,rating,,,,,,,,,,,,,,,,,,,,
PROSPECT,67,Based the therapist guide me.,chore,home,4,,,,,,,,,,,,,,,,,,,,
PROSPECT,67,based the therapist guide me.,play,home,4,,,,,,,,,,,,,,,,,,,,
PROSPECT,67,I will take him in the birth day of my friend.,social,home,0,,,,,,,,,,,,,,,,,,,,
PROSPECT,67,My best strategy to participate my child in the community taking him to church and participating in my friends Birth day.,neighborhood outings,community ,0,,,,,,,,,,,,,,,,,,,,
PROSPECT,67,My best strategy to participate successful basic care routines are I observe my child interest and I am motivating to my child to doing any activities  with me. example cleaning teeth.,basic care routine,home,1,,,,,,,,,,,,,,,,,,,,
PROSPECT,67,My other strategy is in order to interact with the community I always taking him to church every Sunday. ,basic care routine,home,0,,,,,,,,,,,,,,,,,,,,
PROSPECT,70,Mostly sing a clean up song and show her how to pick things and where to put to them.,chore,home,0,,,,,,,,,,,,,,,,,,,,
PROSPECT,70,Mostly sing a clean up song and show her how to pick things and where to put to them.,chore,home,0,,,,,,,,,,,,,,,,,,,,
PROSPECT,70,Mostly sing a clean up song and show her how to pick things and where to put to them.,chore,home,0,,,,,,,,,,,,,,,,,,,,
PROSPECT,71,"Singing songs ""clean up clean up everybody everywhere...clean up clean up... everybody do your share""",chore,home,0,,,,,,,,,,,,,,,,,,,,
PROSPECT,71,"We practice/pretend brushing the teeth of a stuffed animal to encourage him to do it, too. ",basic care routine,home,0,,,,,,,,,,,,,,,,,,,,
PROSPECT,71,"We put jammies on a stuffed animal, too.",basic care routine,home,0,,,,,,,,,,,,,,,,,,,,
PROSPECT,73,Feeding therapy ,basic care routine,home,4,,,,,,,,,,,,,,,,,,,,
PROSPECT,73,Have not been able to due to COVID ,recreational ,community,4,,,,,,,,,,,,,,,,,,,,
PROSPECT,73,Rewards for partic ,basic care routine,home,4,,,,,,,,,,,,,,,,,,,,
PROSPECT,73,Rewards for participation ,basic care routine,home,2,,,,,,,,,,,,,,,,,,,,
PROSPECT,73,Unable to due to COVID ,recreational ,community,4,,,,,,,,,,,,,,,,,,,,
PROSPECT,73,Unable to participate in vacations and travel due to COVID ,recreational ,community,4,,,,,,,,,,,,,,,,,,,,
PROSPECT,74,N/A,basic care routine,home,4,,,,,,,,,,,,,,,,,,,,
PROSPECT,74,N/A,basic care routine,home,4,,,,,,,,,,,,,,,,,,,,
PROSPECT,74,N/A,basic care routine,home,4,,,,,,,,,,,,,,,,,,,,
PROSPECT,74,N/A,chore,home,4,,,,,,,,,,,,,,,,,,,,
PROSPECT,74,N/A,chore,home,4,,,,,,,,,,,,,,,,,,,,
PROSPECT,74,N/A,chore,home,4,,,,,,,,,,,,,,,,,,,,
PROSPECT,74,N/A,play,home,4,,,,,,,,,,,,,,,,,,,,
PROSPECT,74,N/A,play,home,4,,,,,,,,,,,,,,,,,,,,
PROSPECT,74,N/A,play,home,4,,,,,,,,,,,,,,,,,,,,
PROSPECT,74,N/A,social,home,4,,,,,,,,,,,,,,,,,,,,
PROSPECT,74,N/A,social,home,4,,,,,,,,,,,,,,,,,,,,
PROSPECT,74,N/A,neighborhood outings,community ,4,,,,,,,,,,,,,,,,,,,,
PROSPECT,74,N/A,neighborhood outings,community ,4,,,,,,,,,,,,,,,,,,,,
PROSPECT,74,N/A,neighborhood outings,community ,4,,,,,,,,,,,,,,,,,,,,
PROSPECT,74,N/A,classes and groups,community ,4,,,,,,,,,,,,,,,,,,,,
PROSPECT,74,N/A,classes and groups,community ,4,,,,,,,,,,,,,,,,,,,,
PROSPECT,74,N/A,classes and groups,community ,4,,,,,,,,,,,,,,,,,,,,
PROSPECT,74,N/A,community,community,4,,,,,,,,,,,,,,,,,,,,
PROSPECT,74,N/A,community,community,4,,,,,,,,,,,,,,,,,,,,
PROSPECT,74,N/A,community,community,4,,,,,,,,,,,,,,,,,,,,
PROSPECT,74,N/A,social,home,4,,,,,,,,,,,,,,,,,,,,
PROSPECT,74,N/A,recreational ,community ,4,,,,,,,,,,,,,,,,,,,,
PROSPECT,74,N/A,recreational ,community ,4,,,,,,,,,,,,,,,,,,,,
PROSPECT,74,N/A ,recreational ,community ,4,,,,,,,,,,,,,,,,,,,,
PROSPECT,77,"At gym class it can be as interactive or not as she feels like during open play.  She could easily go play where no other kids are or she could play in the thick of it and interact with other kids.  It's good practice for us to use our words with others (still a work in progress), wait in line and take turns, transition between activities so there is a lot of modeling, redirecting and praising good behavior.",classes and groups,community ,0,,,,,,,,,,,,,,,,,,,,
PROSPECT,77,"For actions that I do not wish to encourage I try to model what I would like to see and verbally redirect.  Please use your words instead of your hands, etc.",play,home,2,,,,,,,,,,,,,,,,,,,,
PROSPECT,77,"I also give verbal instructions and try to praise her actions that I would like to encourage.  Thank you for sharing the slide, I'm proud you waited your turn I know that takes patience, etc.",play,home,1,,,,,,,,,,,,,,,,,,,,
