strategy,Label,trainingset
Encouraging her to play and show her new things.,SOS,train
Make it more fun with her.,P,train
Modeling the task for her and then giving her the chance to do it.,EC,train
Preparing her for the activity and letting her know ahead of time.,EC,train
"Showing her how to do it and modeling for her, and then giving her a chance to do it on her own.",EC,train
"At night during bath time, we have him help rinse shampoo out of his hair using a cup of water.",SOS,test
Attend friend playgroups with other children his age. He will often play by himself.,EC,test
He sometimes helps us feed our dog by putting food in her bowl or refilling her water.,SOS,test
"He will help us put dirty clothes into the washing machine to be cleaned, and help pull out clean/dry clothes from the dryer.",SOS,test
Helping brush teeth at the same time mom and dad are brushing our teeth.,AC,test
"If he spills something, we try to encourage him to help wipe it up.",SOS,test
"Swim lessons. Mom and dad still participate in these classes in the water with him. We sing songs, splash around, dunk underwater, etc.",EC,test
We go to the zoo and point out animals and make animal sounds.,EC,test
We've taken him to professional sport events. He likes to cheer and clap with the crowd.,EC,test
"When preparing to eat, we try to model and have him wash his hands with us. We talk about the steps we're taking to prepare his cup of milk, get is food ready, etc. ('okay, first we need to get a cup...')",EC,test
Got memberships to zoo and botanical gardens to keep her ou and around people and crowds,EC,train
She can get very uneasy around large crowds but we keep her in them and comfortable,SOS,train
She is still learning body awareness in order to walk at 100% so we havent yet gone to an independent ckass with her... She also has strength to build up,NS,train
She stays with her aunt in town and has a few nights at her grandmas,EC,train
We go to parks and she has cousins within her age so we get together when everyone can,EC,train
"We sort, cook, read and listen/dance to music everyday and most everyday go outside for play and or yard work... Just trying to keep consistant",EC,train
With her continued process she will get in more activities,NS,train
"He really enjoys playing with water, so when I need him to wash his hands, I let him stand on the step stool at the sink and play with water in a bowl while I help him soap and rinse his hands.",P,train
I organized a weekly playgroup for neighborhood moms with toddler around River's age.,EC,train
"I organized a weekly playgroup for neighborhoods moms with kids around River's age.     We rotated meeting at each house and at local parks and libraries. The kids have learned how to play together and the moms have enjoyed some much needed adult social time, too.",EC,train
"I try to bring River back east with me at least a couple times of year for important holidays (Passover) or weddings, when the whole, extended family gets together.",EC,train
"On overnight trips out of town, we try to keep certain routines (such as naps and bedtimes) consistent with what we do at home, to help River feel at ease and maintain his normal schedule",EC,train
"On the rare occasions when we take River out to a restaurant, we try to make sure he has a fun activity to do before the food comes, and after the meal ends. For example, I'll bring a train or car into the restaurant with us, and let him play with it or run around outside while we're waiting for food.",P,train
"River enjoys helping his parents make coffee in the morning. He takes down the pack of filters, puts the filter in the basket, helps Mommy or Daddy scoop the grounds into the filter and pour the water into the coffee maker, closes the lid and presses the 'on' button. He loves doing this and will act offended and complain if we make the coffee without him.",SOS,train
"River is not a great eater. In order to entice him to eat more of a meal, we've done everything from the 'airplane game,' where every bite of food is a different friend or family member flying on an airplane to visit us, to cheering him as a 'champion' for every successful bite of food to outright bribery (we'll sing the Zoo song again, if you take another bite).     These are successful strategies in that they do entice him to eat more, but I'm not sure whether they are ultimately doing more harm than good, in that they take a lot of energy, time and attention, and don't encourage him to be more independent about eating, or learn how to enjoy eating food for itself, without the associated fun.",P,train
"River LOVES trains. His grandparents bought him a train set for Hanukah, and he plays with it intensely every day, piecing together tracks, moving train cars around and around and up and down, playing pretend train with almost any objects he can get his hands on.     We've responded to  this interest by finding and reading books about trains, singing songs about trains, and taking trips to the nearby train overpass and train stations to watch trains",P,train
"Sometimes River will 'help' put away the groceries by pulling an item out of the shopping bag on the floor, and bringing it over to Mommy or Daddy to put away in the fridge or pantry.    We don't do this very often, but I would like to start doing it more - the older he gets the more helpful he can be.",SOS,train
"Sometimes River will 'help' unload the dishwasher by picking up the clean silverware, piece by piece, and handing it to Mommy or Daddy, standing at the silverware drawer.",SOS,train
"We brush our teeth together in the mornings. He often enjoys doing things together and emulating adults. He especially likes the rare occasions when we can all brush our teeth together as a family (Mommy, Daddy and baby)",EC,train
"We frequently visit a number of neighborhood playgrounds, and I try to encourage River to use the playground equipment independently by helping him out a few times and showing him how he can do it himself.",EC,train
"We frequently visit the nearby Nature and Science Museum, Zoo and Botanic Gardens, and meet up for playdates there.",EC,train
We go to storytime at our local library regularly.,EC,train
"We had breakfast at a bagel shop along the lightrail route near our home, so we could pass the time and engage his interest anticipating and watching the trains go by.",P,train
"We have encouraged River to do arts and crafts by providing him with a small table and chairs where he does his 'scribbling' with crayons. When the weather is nice, sometimes we use fingerpaints in the backyard.     We also sometimes draw with chalk, either on the sidewalk, or on a small chalkboard. River enjoys when I draw the head and body of a spider for him, so he can draw in the legs.",SOS,train
"We have read to River every day since he was a mere handful of weeks old. At this point, he loves books and will demand that we read them several times a day.     We have incorporated reading into our routines for naptime and bedtime, and will ask River to pick out the book or books he wants to read. He is usually very excited to do this, and very excited to read the books. We also try to take out a new stack of books from the library every few weeks, which I let him help pick out, and seek out books on topics that he is particularly interested in, such as trains and gorillas.",P,train
"We like to take River hiking. We'll start out with him in the backpack, but after a short while, he's usually itching to get out and climb around the rocks on his own. We'll support him physically, as needed, as he does this.",EC,train
"We make frequent playdates with friends, and at the beginning and end of each playdate, I always try to emphasize greeting the friends and saying goodbye at the end, and encourage River to do the same.",EC,train
We took River to an art class at the JCC. He really enjoyed the tactile experience of finger painting.,EC,train
"When I take River to the grocery store, I let him hold onto each item I select, and drop it into the basket of the cart behind him.",SOS,train
Didn't I just do that?,NS,train
She cries when she sees us turn on to Colfax for Childrens Hospital. She cries when we are in Stapleton because that is where the pediatrician is. GOing out to eat is too loud and busy.,NS,train
She hates people besides myself and her brother.I would like her to engage with others,NS,train
She puts her plate in the sink and throws things in the trash. She pours the dog food into the bowl. Like to mix in a mixing bowl. She 18 months she can only do so much.,SOS,train
"We can not leave town due to oxygen and altitude changes, but we would love to!",NS,train
We sing songs and she watches her brother do the activities first.,EC,train
"With sensory problems things like brushing hair, teeth and getting dressed are really rough",NS,train
At play grounds we leave her alone until she decides she is ready and picks an activity. takes 20-30 min.,SOS,train
"Demonstrate while directing action verbally. Asking her to put toys back in box: first show her, then hand her one and point to box. Clap when completed.",EC,train
demonstrating activity 'brushing teeth',EC,train
"encourage her to play and explore, ask her to follow so she can experience new things.",SOS,train
"Providing simple one word directions ' push' for putting are in shirt,",SOS,train
"repeating requests 'find your shoes',",P,train
Show her how things work and let her try for herself. Setting her on the slide so she knows what it is for and how to use it.,EC,train
"Begging, singing, giving stickers or toys",P,train
Encouragement & bribery,SOS,train
Her brother did a lot more with his ipad at this stage than she does,NS,train
I would love to see her actually like people.,NS,train
It is hard to have her around non family members. Being in a Tula helps. She sometimes likes the carts but if people look or talk to her it is bad.,EC,train
Most of these are all bribery & encouragement,P,train
"Asking her to name what is happening, clapping together",SOS,train
See above,NS,train
See above,NS,train
child too young to participate,NS,train
"For diaper changes, which he tries to escape from, I try to distract him with a toy.  It works for a few seconds.",EC,train
for feeding I give him his own spoon and I have a second spoon I actually use to feed him.,SOS,train
I explain to him what is going to happen next and he now understands what is about to happen and participates if he chooses,EC,train
Kepping him in the high chair while playing with him helps.  Otherwise he loses interest in seconds and leaves to go be physically active.,EC,train
Tried to induce him to stay in the room at book babies but nontheless he persistently left the room.,NS,train
14 months old - expect participation & involvement will increase as she matures/ages,NS,test
N/A - 14 months old; expect participation to increase as she ages/matures,NS,test
N/A - 14 months old. Expect her participation to increase as she gets older.,NS,test
N/A - 14 months old. Expect her participation to increase as she matures/ages.,NS,test
N/A - 14 months.  Expect her to increase her participation as she matures/grows up.,NS,test
Practicing putting blocks in and out,AC,train
Practicing using sippy cup,AC,train
Pull her arms through her shirts and talk her through getting dressed,EC,train
Read books and touch the pictures,EC,train
Talk/play with her around friends,EC,train
"talking about the activity in advance, looking at pictures, reading books etc",EC,train
We act really excited to be brushing teeth so that they get excited to do it,EC,train
We ask if they can put the toy away,SOS,train
Ask,NS,train
Just ask,NS,train
Just ask,NS,train
N/a,NS,train
Getting down on her level,EC,test
Playing with toys she is interested in,P,test
Role-modeling play,EC,test
"Get out craft supplies and arrange them in her play space, then start doing the craft myself. She can choose to watch and copy what I'm doing, or find her own way to use the supplies.",EC,train
I model a play activity and ask her to 'follow the leader' if she doesn't catch on right away.,EC,train
"Let her choose the game (Ring around the rosie; Putting on a show; Hide and seek, etc).",P,train
"She drops food/drinks on the floor when she's done eating sometimes - we've tried to catch her prior to the dumping, and offer her an appropriate place to place her unwanted stuff, instead of dumping it on the floor.",EC,train
"We've tried giving her smaller portions at a time, as well as arranging her food and place setting in different ways, to help her feel less overwhelmed or overstimulated during meal times.     We've encouraged her to talk about her food - what she likes and doesn't like - and to ask for what she wants when she starts looking frustrated, instead of waiting for her to drop stuff on the floor.     We've become more mindful of how long meals last, and have tried to limit the time that we ask her to sit at the table.",EC,train
"We've tried making a game of putting toys away (make it a race; sort the toys into baskets by type or color; pretend that the toys are playing hide and seek in their baskets; putting the toys to bed, etc.)",P,train
We've tried to add 10 minutes of tidy-up time into our evening routine,EC,train
"We've tried to have one parent teach and help the kids to set the table and get drinks for everyone before meals.    We've tried to establish the routine of everyone taking their dishes, utensils and cups to the sink after each meal and snack.",AC,train
"When she drops food/drinks on the floor, we've given her the supplies, encouragement, and assistance to clean up the mess herself.",EC,train
Haircuts,NS,train
"We encourage him to play, say hello, give hugs",SOS,train
We play matching games and help him understand taking turns,P,train
Continued exposure to class settings to expand interest and comfort level in class settings,EC,test
"Ensure that he feels safe and secure at these events, so he knows we are there for him, but trying to encourage him to engage and interact more independently in these settings",SOS,test
Bentley doesn't interact with many kids. Is only interacting with adults,NS,test
Help taking care of his sisters feedings,SOS,test
I have given him 'if' and 'then',P,test
I have tried timers,EC,test
I try to make errands as quick as possible,EC,test
I will start activities and leave to see if he will stay and keep playing,EC,test
Just getting him to participate in speech,NS,test
Put him in his high chair and try to get him to participate in baking,EC,test
Constantly search for affordable classesand activities.,EC,train
Enrolled him in Gymboree.,EC,train
"Tried to involve him in activities like story time and Gymboree. Read to him daily. Many opportunities to play with parents, sibling and neighbors.",EC,train
Ask Sophie to help me with the task,SOS,train
Distraction (I.e. during diaper change),EC,train
"Plan travel during nap times, limit time traveling in car",EC,train
Redirect her to different types of play,EC,train
Reward system,P,train
Talking about outing before going - prepping her ahead of time,EC,train
involve her an teach her,SOS,train
involve her an teach her,SOS,train
involve her an teach her,SOS,train
"Fortunately, we live in a very large neighborhood that has an abundance of resources, events and support for families. The neighborhood is majority families with young childre",EC,train
"He will help hold the food container and help feed our pets with us mornings and evenings. He gets to pick out the dog chews for the dog - removing the container from the cabinet, selecting two chews per mealtime then giving them to the dog. He has come to understand his role in helping feed the pets an",SOS,train
I have him carry a few pieces of laundry and place them into the washing machine. He'll help press the buttons then we watch the laundry start to make the sounds and movements that he finds entertaining. He has this same role every time and now understands how to do it without prompting.,SOS,train
"A few days a week, I take my son to the library and/or park to meet and socialize with other kids. I help him take turns with other children on the play equipment.",EC,train
"After eating, I hold a mirror up in front of my son and point out where he is messy. I also give him wet wipes and point to the area on my face that he needs to wipe on his own face.",EC,train
Every week my son has a play date with kids his age. He knows the other children in the group very well and has been seeing them weekly for about a year.,EC,train
"I explain things slowly and point to what my son needs to get in order to participate (a musical instrument to play, a scarf to dance with, a book to rea",EC,train
I point out things of interest to my son like balloon animals or characters he might recognize.,P,train
"When attending a class, I often take my son's hand to help guide him during an activity.",AC,train
"When getting dressed, I name the clothes and body parts and encourage my son to help as much as possible. I often pull his shirt over his head, but he pushes his arms through the sleeves. I also encourage him to push his feet into his socks (which I hold open for him) and to put on his shoes and use the Velcro strap.",AC,train
"When getting ready to take a nap, I ask my son to take off his shoes (which he does). Then, he gets his favorite blanket and pacifier and crawls under the covers.",SOS,train
"When my son finishes eating a snack, I have him take the wrapper and throw it away in the trash.",SOS,train
"When my son has finished playing with certain toys and has moved onto the next activity, I have him help put everything away. Sometimes he does it willingly and other times he doesn't. However, I always ensure that he puts the last item away.",SOS,train
"When sleeping in a new place, I follow the same routines we use at home.",EC,train
"Whenever there is music playing, I start to dance and encourage him to join in.",EC,train
Exposure to more activities,SOS,train
Follow her lead.,SOS,train
"Letting her hold the brush, toothbrush, etc.",SOS,train
none,NS,train
Offer a wide variety of activities.,P,train
Practicing on a baby doll.,AC,train
My daughter is a baby and too young to participate in household chores.,NS,train
My daughter is a baby and too young to participate in household chores.,NS,train
My daughter is a baby and too young to participate in household chores.,NS,train
Activities he enjoys,P,train
Follow his schedule,SOS,train
Fun time,P,train
Fun time,P,train
Have toys for him,EC,train
Having kids over,EC,train
He is interested,NS,train
He likes Costco,NS,train
He likes to help out stuff in the shopping cart,P,train
Make it fun,P,train
Make noises,EC,train
Make sure he is not tired and he is not hungry,EC,train
New games,EC,train
New toys,EC,train
Not tired not hungry,EC,train
Not tired not hungry,EC,train
Playing bottoms,NS,train
Praise,SOS,train
Singing,EC,train
Things he is interested,P,train
alternating between favorite activities (rolling cars) and more varied functional play,P,train
bring books for him to church to look at during mass. wish we had a way of better teaching him time to be quiet.,EC,train
cleaning up with the whole family at about the same time each day,EC,train
hand over hand brushing of teeth and washing of hands,AC,train
"Having him stand up while getting dressed so that he has to lift his feet, etc, and doesn't have the option to just lay still",P,train
involving his older sister as a sort of 'buddy' when there are friends over,EC,train
letting him walk in the grocery store and handing him the things to put on the conveyor belt,SOS,train
making sure that he has eaten enough before friends arrive so that he doesn't just hide out by the food,EC,train
"Snack is had a child-sized table, he gets his own bowl and I fill it before he takes it over",EC,train
"We haven't done anything but a once a week parents' day out program with him, and an occasional story time - this clearly needs to be a bigger part of ou",EC,train
Annual pass to the children's museum.,EC,train
Attend storytime at the library occasionally,EC,train
Have him brush his teeth alongside big brother.,EC,train
He loads the washing machine for me.,SOS,train
"He washes dishes, I load them in dishwasher.",SOS,train
"Involve him in cooking (helping me make a salad, etc).",SOS,train
Asking Audrey to help move the wet clothes into the dryer and taking the dry clothes to the bedroom,SOS,train
Giving them a choice of what to do first,P,train
Lead by example or model pretend play,EC,train
Go with friends and neighbors,EC,train
Make it fun,P,train
Model behavior and activity to help her learn,EC,train
Pick events that are interesting to her,P,train
Planned well to keep her entertained and happy while in travel,EC,train
"Positive reinforcement, but letting her interact in her own natural way",SOS,train
Taking her when she's well fed and well rested,SOS,train
Went somewhere that was good for her,EC,train
Went somewhere that was good for the family,EC,train
"bring items that soothe her- blankies, pacifiers",EC,train
"bring items that soothe her- blankies, pacifiers",EC,train
"bring items that soothe her- blankies, pacifiers",EC,train
choose activities where we know we will have space that aren't too crowded,EC,train
choose activities where we know we will have space that aren't too crowded,EC,train
choose activities where we know we will have space that aren't too crowded,EC,train
choose classes that fit with her established daily routine,EC,train
choose classes that fit with her established daily routine,EC,train
choose classes that fit with her established daily routine,EC,train
focus on chores that she enjoys and focus solely on those chores,P,train
focus on chores that she enjoys and focus solely on those chores,P,train
focus on chores that she enjoys and focus solely on those chores,P,train
"repetitive routines, incorporate fun such as songs and games",EC,train
"repetitive routines, incorporate fun such as songs and games",EC,train
"repetitive routines, incorporate fun such as songs and games",EC,train
rotate toys so that she isn't playing with the same activities every day,EC,train
rotate toys so that she isn't playing with the same activities every day,EC,train
rotate toys so that she isn't playing with the same activities every day,EC,train
He always carries his plate or bowl of food from the kitchen to his seat.  He likes doing this.,SOS,test
"He likes to help put items in the dishwasher. When we ask, he'll do it.  We just forget to have him do it.",SOS,test
We make it a routine for him to pick up his toys and he likes doing it.,EC,test
being consistent  reminding him that it is time to use the toilet/change his diaper,EC,test
model the behavior we want to see,P,test
offering to help his body,AC,test
talking through,EC,test
as above,NS,train
as above,NS,train
as above,NS,train
as above,NS,train
as above,NS,train
as above,NS,train
as above,NS,train
as above,NS,train
let I'm hold the vaccum as I'm am doing the floors  also help put laundry into the washer or into the dryer,SOS,train
play with sibling taking turns on the train track  sitting with sibling to color pictures,EC,train
try to get him to play with other children,P,train
try to involve him in activities at gatherings,NS,train
Can see why he want to run all the time,NS,train
Cant stop him,NS,train
He can do good as he is with the help at daycare an it has made A Difference,EC,validate
He can stop an slowdown an just walk he only wants to run,NS,train
"He dont see or care that things are in the way to not run around an fall, So he has been working on slowing down an it has helped but still want to be fast at it all.",AC,validate
He gets by but can learn more 89th,NS,train
He trys sometimes,SOS,validate
He wants to do everything fast an Falls For not taking his time ti get things done right.,NS,train
He will get by with help,AC,validate
Help him do his best,AC,validate
Help is the best thing for him,AC,train
Help is the best thung for him,AC,train
I cant do it my self cuz he dont understand me,NS,train
I Have been showing him how to do things slower to get it done right,EC,validate
I try,NS,train
It would help if he just stop running for everything,NS,train
Its hard on me,NS,train
Not looking around him self to see where not to go an fall down.,NS,train
Nred the help for him an ways around it,NS,train
On my own I walk with him an show him how slow walking is,EC,train
Only can do so much,NS,train
They help out an show him ways around to be careful an safe for him,EC,train
Things do get by but he can slow down,NS,train
Trying everthing,NS,train
Bring her to the park and try swing,EC,test
Child sized table and chair used at mealtime,EC,test
She pushes buttons in dishwasher,SOS,test
i haven't,NS,train
i haven't,NS,train
i haven't,NS,train
Feeding therapy,NS,train
Frequent interaction,EC,train
Have games readily available.,EC,train
Implementing a routine,EC,train
He's only 1 so I don't expect him to help with these things.,NS,train
"Helping him learn how to feed himself. Having a routine will hopefully show him how to help get him dressed, etc.",AC,train
"We do excercise,place her stuff where she can see it.point it to her,and she follow where it is.and ask her to immitate me as i do.like as i brush my teeth,she follow me as i do.",EC,test
I have gone early to get him used to the space. He still often wants to breastfeed through large portions of a class/gathering,EC,test
He is still a little too young for some of the activities listed. When we go to birthday parties etc I encourage Jayden to sit and play with the other children there.,SOS,train
I intend to put Jayden in the nursery/day care at church once cold and flu season is done,NS,train
I will comb Jayden's hair then hand him the comb to comb his own hair.,EC,train
I will wipe down his highchair after he eats then give him the wash cloth to wipe down the highchair himself,SOS,train
I wipe his mouth then give him the washcloth to wipe his own mouth.,SOS,train
My son is too young for a lot of the activities listed. When we are in groups at a restaurant I try to keep him interested in the friends/family members,P,train
Once we are done playing for the night I encourage Jayden to help me put his toys in his toy box,SOS,train
We have a few little puzzles that I help Jayden put the pieces together.,AC,train
When music starts to play on a movie we are watching I encourage Jayden to dance.,SOS,train
When we have in home therapy I try to keep Jayden encouraged and happy so he doesn't get cranky with Emma,SOS,train
"Our daughter is not yet 3, so her level of participation is appropriate. We continuously encourage her to clean up her toys by singing songs and not allowing her to move on to the next toy.",SOS,train
We encourage our daughter to communicate with others by trying to make her feel comfortable in the situation.,SOS,train
We try to continuously encourage our daughter to interact more in community events.,SOS,train
We try to encourage our daughter to interact with others.,SOS,train
We try to encourage our daughter to pay attention and participate in the activities as designed.,SOS,train
"Calming is usually needed, so I talk through what I am going to do (ie- 'I'm about to pull this shirt over your head.  It's going to be so quick, and it will help us get ready to leave the house')",EC,train
"He is so young, so I typically just ask him to help clean up toys before we move on to the next activity.",SOS,train
He typically needs calming when we travel due to the new environment.,SOS,train
Singing to him.,EC,train
"We are working on fine and gross motor skills, body tone, and vision as building blocks to eventually be able to participate in activities of daily livin",AC,train
"We are working on fine and gross motor skills, body tone, and vision as building blocks to eventually be able to participate in activities of daily living",AC,train
"We are working on fine and gross motor skills, body tone, and vision as building blocks to eventually be able to participate in activities of daily living",AC,train
"We are working on fine and gross motor skills, body tone, and vision as building blocks to eventually be able to participate in activities of daily living",AC,train
"We are working on fine and gross motor skills, body tone, and vision as building blocks to eventually be able to participate in activities of daily living",AC,train
"We are working on fine and gross motor skills, body tone, and vision as building blocks to eventually be able to participate in activities of daily living",AC,train
"We are working on fine and gross motor skills, body tone, and vision as building blocks to eventually be able to participate in activities of daily living",AC,train
"We are working on fine and gross motor skills, body tone, and vision as building blocks to eventually be able to participate in activities of daily living",AC,train
Add new materials to make old activities novel,EC,train
Allow for him to get comfortable,SOS,train
"Following his lead, if he is not interested we try again another day.",SOS,train
Lots of guidance and support.,EC,train
Point out things he likes about activity,P,train
Try to be very excited about the activity,EC,train
Have him watch me and then ask him to try,EC,train
Interaction,NS,train
Interaction,NS,train
Interaction,NS,train
Repetition,AC,train
Repetition,AC,train
Same,NS,train
Through watching us and asking him to help us,EC,train
We let him try,SOS,train
"brushing her own teeth, then I help her at the end. however helping her in the end becomes a battle.",SOS,train
"emi loves watching tv, we try to limit.",EC,train
"getting our coat on, getting her stuff together",EC,train
helps feed the dog,SOS,train
picking up dirty laundry off the floor or throwing her diaper in the trash.,SOS,train
"picking up her toys, she is good at putting them in the box",SOS,train
she loves to read books and pick up books and bring them to you one by one.,P,train
she puts her pajamas away or in the dirty laundry.,SOS,train
to bring her books or hair supplies.,EC,train
"we do a lot of coloring, drawing and arts and crafts. she likes to use markers and paint.",P,train
we go for walks (when warm) to the park,EC,train
We go out to eat in the neighborhood one in a while,EC,train
During warm weather we typically go to the play ground - which is great with other kids... it can be tricky in winter months.,EC,train
In the winter we typically go to the mall on Friday nights - it is great because the wide space is good with her walker... they also have an indoor play,EC,train
"Liliana sometimes gets 'stuck' on screens. When this happens we try to emulate whatever screen activity she is involved with outside of the screen. For example, if she is looking at a photo stream, we will engage with some of our family albums. If she is   playing with a music app, we will turn on the radio and have a dance party.",EC,train
Lots of playground time.,EC,train
We are constantly reading books. At least a dozen per day.,EC,train
We are currently looking for programs with physical activity that will work with kids that have mobility challenges.,EC,train
We are working to enroll Liliana in a school program so she can have more contact with her peers.,EC,train
"We have secured memberships to cultural facilities - museums, botanic guardians, etc. to give her more exposure to other kids and community.",EC,train
We have worked to establish a routine so she understands the context of chores.,EC,train
We have worked to include her so she has an opportunity to participate.,SOS,train
"We love to travel. When we travel, Liliana always enjoys new adventures.",P,train
We often color or play with stickers. We also do a lot of imaginary play - tea parties with stuffed animals and such.,EC,train
We talk about the chores as we do them.,EC,train
We try to see our family and her cousins as often as possible - generally once per week.,EC,train
"He currently attends weekly music class, swim lessons, and story time at the local library and book store. We fully engage with the teachers and curricul",EC,train
"Since he is only 1.5 years old, i haven't tried to incorporate this yet.",NS,train
Songs and videos about brushing his teeth since he hates it,EC,train
Talking through and showing him how to wah his hands and face,EC,train
Toys and bubbles in the bathtub,EC,train
"We have been to a few 'festivals' over Christmas including Zoo Lights at the Zoo, Parade of Lights, meeting Santa, etc. I have also taken him to a few 'kids concerts' at the l",EC,train
Big brother is a very good help she does everything that he does,AC,train
I try to show her by doing it myself and big brother Also,EC,train
She is not used to people coming over he gets shy and starts crying but we are trying to give her toys so she could play with whoever comes around and she gets a little bit more comfortable,EC,train
She still a baby but she is learning how to throw things in the trash and in the sink,AC,train
She still a baby but she is learning how to throw things in the trash and in the sink,NS,train
We tried to get her more involved in basic care Routines,NS,train
We try to give her toys so she could get a little bit more used to having people over,EC,train
