strategy,Label,trainingset
encouraging her to play and show her new things,1,1
make it more fun with her,2,1
modeling the task for her and then giving her the chance to do it,0,1
preparing her for the activity and letting her know ahead of time,0,1
showing her how to do it and modeling for her and then giving her a chance to do it on her own,0,1
at night during bath time we have him help rinse shampoo out of his hair using a cup of water,1,0
attend friend playgroup with other children his age he will often play by himself,0,0
he sometimes helps us feed our dog by putting food in her bowl or refilling her water,1,0
he will help us put dirty clothes into the washing machine to be cleaned and help pull out clean/dry clothes from the dryer,1,0
helping brush teeth at the same time mom and dad are brushing our teeth,3,0
if he spills something we try to encourage him to help wipe it up,1,0
swim lessons mom and dad still participate in these classes in the water with him we sing songs splash around dunk underwater etc,0,0
we go to the zoo and point out animals and make animal sounds,0,0
weve taken him to professional sport events he likes to cheer and clap with the crowd,0,0
when preparing to eat we try to model and have him wash his hands with us we talk about the steps were taking to prepare his cup of milk get is food ready etc okay first we need to get a cup...,0,0
got memberships to zoo and botanical gardens to keep her ou and around people and crowds,0,1
she can get very uneasy around large crowds but we keep her in them and comfortable,1,1
she is still learning body awareness in order to walk at [number] so we havent yet gone to an independent class with her... she also has strength to build up,4,1
she stays with her aunt in town and has a few nights at her grandmas,0,1
we go to parks and she has cousins within her age so we get together when everyone can,0,1
we sort cook read and listen/dance to music everyday and most everyday go outside for play and or yard work... just trying to keep consistant,0,1
with her continued process she will get in more activities,4,1
he really enjoys playing with water so when i need him to wash his hands i let him stand on the step stool at the sink and play with water in a bowl while i help him soap and rinse his hands,2,1
i organized a weekly playgroup for neighborhood moms with toddler around [name] age,0,1
i organized a weekly playgroup for neighborhoods moms with kids around [name] age     we rotated meeting at each house and at local parks and libraries the kids have learned how to play together and the moms have enjoyed some much needed adult social time too,0,1
i try to bring [name] back east with me at least a couple times of year for important holidays passover or weddings when the whole extended family gets together,0,1
on overnight trips out of town we try to keep certain routines such as naps and bedtimes consistent with what we do at home to help [name] feel at ease and maintain his normal schedule,0,1
on the rare occasions when we take [name] out to a restaurant we try to make sure he has a fun activity to do before the food comes and after the meal ends for example ill bring a train or car into the restaurant with us and let him play with it or run around outside while were waiting for food,2,1
[name] enjoys helping his parents make coffee in the morning he takes down the pack of filters puts the filter in the basket helps mommy or daddy scoop the grounds into the filter and pour the water into the coffee maker closes the lid and presses the on button he loves doing this and will act offended and complain if we make the coffee without him,1,1
[name] is not a great eater in order to entice him to eat more of a meal weve done everything from the airplane game where every bite of food is a different friend or family member flying on an airplane to visit us to cheering him as a champion for every successful bite of food to outright bribery well sing the zoo song again if you take another bite     these are successful strategies in that they do entice him to eat more but im not sure whether they are ultimately doing more harm than good in that they take a lot of energy time and attention and dont encourage him to be more independent about eating or learn how to enjoy eating food for itself without the associated fun,2,1
[name] loves trains his grandparents bought him a train set for hanukkah and he plays with it intensely every day piecing together tracks moving train cars around and around and up and down playing pretend train with almost any objects he can get his hands on     weve responded to  this interest by finding and reading books about trains singing songs about trains and taking trips to the nearby train overpass and train stations to watch trains,2,1
sometimes [name] will help put away the groceries by pulling [name] item out of the shopping bag on the floor and bringing it over to mommy or daddy to put away in the fridge or pantry    we dont do this very often but i would like to start doing it more  the older he gets the more helpful he can be,1,1
sometimes [name] will help unload the dishwasher by picking up the clean silverware piece by piece and handing it to mommy or daddy standing at the silverware drawer,1,1
we brush our teeth together in the mornings he often enjoys doing things together and emulating adults he especially likes the rare occasions when we can all brush our teeth together as a family mommy daddy and baby,0,1
we frequently visit a number of neighborhood playgrounds and i try to encourage [name] to use the playground equipment independently by helping him out a few times and showing him how he can do it himself,0,1
we frequently visit the nearby nature and science museum zoo and botanic gardens and meet up for playdates there,0,1
we go to storyline at our local library regularly,0,1
we had breakfast at a bagel shop along the hightail route near our home so we could pass the time and engage his interest anticipating and watching the trains go by,2,1
we have encouraged [name] to do arts and crafts by providing him with a small table and chairs where he does his scribbling with crayons when the weather is nice sometimes we use fingerprints in the backyard     we also sometimes draw with chalk either on the sidewalk or on a small chalkboard [name] enjoys when i draw the head and body of a spider for him so he can draw in the legs,1,1
we have read to [name] every day since he was a mere handful of weeks old at this point he loves books and will demand that we read them several times a day     we have incorporated reading into our routines for naptime and bedtime and will ask [name] to pick out the book or books he wants to ready he is usually very excited to do this and very excited to read the books we also try to take out a new stack of books from the library every few weeks which i let him help pick out and seek out books on topics that he is particularly interested in such as trains and gorillas,2,1
we like to take [name] hiking well start out with him in the backpack but after a short while hes usually itching to get out and climb around the rocks on his own well support him physically as needed as he does this,0,1
we make frequent playdates with friends and at the beginning and end of each playdate i always try to emphasize greeting the friends and saying goodbye at the end and encourage [name] to do the same,0,1
we took [name] to an art class at the jcc he really enjoyed the tactile experience of finger painting,0,1
when i take [name] to the grocery store i let him hold onto each item i select and drop it into the basket of the cart behind him,1,1
didnt i just do that,4,1
she cries when she sees us turn on to collar for childrens hospital she cries when we are in stapleton because that is where the pediatrician is going out to eat is too loud and busy,4,1
she hates people besides myself and her brother would like her to engage with others,4,1
she puts her plate in the sink and throws things in the trash she pours the dog food into the bowl like to mix in a mixing bowl she [number] months she can only do so much,1,1
we can not leave town due to oxygen and altitude changes but we would love to,4,1
we sing songs and she watches her brother do the activities first,0,1
with sensory problems things like brushing hair teeth and getting dressed are really rough,4,1
at play grounds we leave her alone until she decides she is ready and picks an activity takes [number] min,1,1
demonstrate while directing action verbally asking her to put toys back in box first show her then hand her one and point to box clap when completed,0,1
demonstrating activity brushing teeth,0,1
encourage her to play and explore ask her to follow so she can experience new things,1,1
providing simple one word directions  push for putting are in shirt,1,1
repeating requests find your shoes,2,1
show her how things work and let her try for herself setting her on the slide so she knows what it is for and how to use it,0,1
begging singing giving stickers or toys,2,1
encouragement  bribery,1,1
her brother did a lot more with his ipad at this stage than she does,4,1
i would love to see her actually like people,4,1
it is hard to have her around non family members being in a tula helps she sometimes likes the carts but if people look or talk to her it is bad,0,1
most of these are all bribery  encouragement,2,1
asking her to name what is happening clapping together,1,1
see above,4,1
see above,4,1
child too young to participate,4,1
for diaper changes which he tries to escape from i try to distract him with a toy  it works for a few seconds,0,1
for feeding i give him his own spoon and i have a second spoon i actually use to feed him,1,1
i explain to him what is going to happen next and he now understands what is about to happen and participates if he chooses,0,1
keeping him in the high chair while playing with him helps  otherwise he loses interest in seconds and leaves to go be physically active,0,1
tried to induce him to stay in the room at book babies but nonetheless he persistently left the room,4,1
[number] months old  expect participation  involvement will increase as she matures/ages,4,0
na  [number] months old expect participation to increase as she ages/matures,4,0
na  [number] months old expect her participation to increase as she gets older,4,0
na  [number] months old expect her participation to increase as she matures/ages.,4,0
na  [number] months  expect her to increase her participation as she matures/grows up,4,0
practicing putting blocks in and out,3,1
practicing using sippy cup,3,1
pull her arms through her shirts and talk her through getting dressed,0,1
read books and touch the pictures,0,1
talk/play with her around friends,0,1
talking about the activity in advanced looking at pictures reading books etc,0,1
we act really excited to be brushing teeth so that they get excited to do it,0,1
we ask if they can put the toy away,1,1
