,Unnamed: 0.1,Unnamed: 0,ID,label,strategy,augmented_strategy,H_yx,predicted_label_null_x,correct_yx,H_yb,predicted_label_null_y,correct_yb,PVI
1,1,1,840,1,House guests - I like to have people over that include our son and get along well with him.,I like to invite people over that include our son and get along well with him.,1.992119989,4,False,2.396652674106508,0,False,0.4045326851065078
2,2,2,840,1,House guests - I like to have people over that include our son and get along well with him.,Having house guests - I like to have people over that include our son and get along well with him.,1.968110712,0,False,2.396652674106508,0,False,0.4285419621065078
3,3,3,840,1,House guests - I like to have people over that include our son and get along well with him.,I like to have people over that include our sons and get along well with him.,2.144035623,4,False,2.396652674106508,0,False,0.2526170511065078
4,4,4,840,1,House guests - I like to have people over that include our son and get along well with him.,I like to have people over that include our son and get along well with him.,2.15651632,4,False,2.396652674106508,0,False,0.2401363541065078
6,6,6,840,1,House guests - I like to have people over that include our son and get along well with him.,Like to have people over that include our son and get along well with him.,1.858412172,0,False,2.396652674106508,0,False,0.538240502106508
8,8,8,840,1,House guests - I like to have people over that include our son and get along well with him.,House guests - I like to have people over that are nice and get along well with our son.,2.10747812,4,False,2.396652674106508,0,False,0.2891745541065078
9,9,9,840,1,We get out the apron and stool so he can help us with measuring and pouring.,We get out the apron so he can help us with the measuring and pouring.,1.479367653,1,True,2.396652674106508,0,False,0.917285021106508
10,10,10,840,1,We get out the apron and stool so he can help us with measuring and pouring.,We get out the apron and stool so he can help us measure and pour.,1.460113497,1,True,2.396652674106508,0,False,0.936539177106508
11,11,11,840,1,We get out the apron and stool so he can help us with measuring and pouring.,We get out apron and stool so he can help us with measuring and pouring.,1.535478554,1,True,2.396652674106508,0,False,0.861174120106508
12,12,12,840,1,We get out the apron and stool so he can help us with measuring and pouring.,We get out the apron and stool so he can help us with measuring and pouring our ingredients instead.,1.495685433,1,True,2.396652674106508,0,False,0.900967241106508
13,13,13,840,1,We get out the apron and stool so he can help us with measuring and pouring.,We get out the apron and stool so it is him.,1.757057652,1,True,2.396652674106508,0,False,0.6395950221065079
14,14,14,840,1,We get out the apron and stool so he can help us with measuring and pouring.,We set up the apron and stool so he can help us with measuring and pouring.,1.487339699,1,True,2.396652674106508,0,False,0.909312975106508
50,50,50,840,4,"We had a family vacation this summer where we stayed in a hotel and flew out the next day.  We had lots of energy but we had our favourite movies, snacks and bear with us.","We had a family vacation that lasted five nights and three days. We had our favourite movies, snacks, and bear with us.",1.721458519,4,True,2.1962278431239506,0,False,0.4747693241239505
51,51,51,840,4,"We had a family vacation this summer where we stayed in a hotel and flew out the next day.  We had lots of energy but we had our favourite movies, snacks and bear with us.","We had a family vacation this summer where we stayed in a hotel and flew out the next day. We had lots of energy but we had our favourite snacks, movies and bear with us.",1.079659049,4,True,2.1962278431239506,0,False,1.1165687941239506
52,52,52,840,4,"We had a family vacation this summer where we stayed in a hotel and flew out the next day.  We had lots of energy but we had our favourite movies, snacks and bear with us.","We had a great vacation as a family this summer. We had lots of energy but we had our favourite movies, snacks and a bear with us.",1.122633384,4,True,2.1962278431239506,0,False,1.0735944591239506
53,53,53,840,4,"We had a family vacation this summer where we stayed in a hotel and flew out the next day.  We had lots of energy but we had our favourite movies, snacks and bear with us.","We had a family holiday where the boy and I had to stay in a hotel and we flew out the next day. We had lots of energy but we had our favourite movies, snacks and bear with us.",1.214952293,4,True,2.1962278431239506,0,False,0.9812755501239504
54,54,54,840,4,"We had a family vacation this summer where we stayed in a hotel and flew out the next day.  We had lots of energy but we had our favourite movies, snacks and bear with us.","We had a family vacation this summer where we stayed in a hotel and flew out the next day. We had lots of energy but we had our favourite movies, snacks and bear with us.",1.067996253,4,True,2.1962278431239506,0,False,1.1282315901239506
55,55,55,840,4,"We had a family vacation this summer where we stayed in a hotel and flew out the next day.  We had lots of energy but we had our favourite movies, snacks and bear with us.","I had a family vacation this summer where we stayed in a hotel and flew out the next day. It was a great idea because we had lots of energy but we had our favourite movies, snacks and bear with us.",0.963590251,4,True,2.1962278431239506,0,False,1.2326375921239507
56,56,56,840,4,"We had a family vacation this summer where we stayed in a hotel and flew out the next day.  We had lots of energy but we had our favourite movies, snacks and bear with us.","We had a family vacation this summer where we stayed in a hotel. We had lots of energy but we had our favourite movies, snacks and bear with us.",1.135811304,4,True,2.1962278431239506,0,False,1.0604165391239506
108,108,108,840,2,Finding restaurants that serve food that our son likes.,Getting away in a restaurant with my son who likes his favorite food.,2.582902588,0,False,2.7784193685741783,0,False,0.1955167805741782
115,115,115,840,0,Bringing some activities to keep our son sitting at the table.,Bring some activities to keep our son sitting at the table.,1.343108749,0,True,1.7142213381829274,0,True,0.3711125891829274
116,116,116,840,0,Bringing some activities to keep our son sitting at the table.,Bringing some activities to keep our son up at the table.,1.230994532,0,True,1.7142213381829274,0,True,0.4832268061829274
117,117,117,840,0,Bringing some activities to keep our son sitting at the table.,Bringing some activities to keep our son sitting.,1.233124574,0,True,1.7142213381829274,0,True,0.4810967641829273
119,119,119,840,0,Bringing some activities to keep our son sitting at the table.,Bringing some activities to keep our son from jumping at the table.,1.36862897,0,True,1.7142213381829274,0,True,0.3455923681829274
122,122,122,840,0,Bringing some activities to keep our son sitting at the table.,Bringing some activities to keep our son sitting at the table so he stays at the table.,1.386098265,0,True,1.7142213381829274,0,True,0.3281230731829274
124,124,124,840,0,Going to places where it is not too big so we can give him the unstructured opportunities.,Go to places where it is not too big so we can give him the unstructured opportunities.,1.422938768,0,True,1.7142213381829274,0,True,0.2912825701829273
125,125,125,840,0,Going to places where it is not too big so we can give him the unstructured opportunities.,Going to places where it is not too big so we can give him unstructured opportunities,1.171234093,0,True,1.7142213381829274,0,True,0.5429872451829274
127,127,127,840,0,Going to places where it is not too big so we can give him the unstructured opportunities.,"Going to places where it is not too big, so we can give him the unstructured opportunities.",1.464799508,0,True,1.7142213381829274,0,True,0.2494218301829274
129,129,129,840,0,Going to places where it is not too big so we can give him the unstructured opportunities.,Going to places where it is not too big so that we can give him the unstructured opportunities.,1.423975551,0,True,1.7142213381829274,0,True,0.2902457871829274
130,130,130,840,0,Finding restaurants that are kid friendly.,Find restaurants that are kid friendly.,1.190886227,0,True,1.7142213381829274,0,True,0.5233351111829274
132,132,132,840,0,Finding restaurants that are kid friendly.,Find family friendly restaurants.,1.05709109,0,True,1.7142213381829274,0,True,0.6571302481829275
133,133,133,840,0,Finding restaurants that are kid friendly.,In context of outing: Find a family friendly restaurant with moderate pricing.,1.500482046,0,True,1.7142213381829274,0,True,0.2137392921829275
134,134,134,840,0,Finding restaurants that are kid friendly.,Having dinner with families who will be staying together.,1.059603055,0,True,1.7142213381829274,0,True,0.6546182831829275
136,136,136,840,0,Finding restaurants that are kid friendly.,Looking for place to eat that have kids friendly option.,1.19660217,0,True,1.7142213381829274,0,True,0.5176191681829274
137,137,137,840,0,Finding restaurants that are kid friendly.,Looking for a restaurant that is family friendly.,1.332034912,0,True,1.7142213381829274,0,True,0.3821864261829275
138,138,138,840,0,Finding restaurants that are kid friendly.,Finding restaurants that are family friendly.,1.101289851,0,True,1.7142213381829274,0,True,0.6129314871829274
143,143,143,840,0,Playing together as a family.,Playing at home with your family.,1.077585729,0,True,1.7142213381829274,0,True,0.6366356091829275
144,144,144,840,0,Playing together as a family.,Playing with the family in the house,1.029824404,0,True,1.7142213381829274,0,True,0.6843969341829275
145,145,145,840,0,Playing together as a family.,Getting together as a family.,1.043571906,0,True,1.7142213381829274,0,True,0.6706494321829275
146,146,146,840,0,Playing together as a family.,playing together as a family on a summer s day.,1.176486495,0,True,1.7142213381829274,0,True,0.5377348431829274
152,152,152,840,4,We haven't done too many community events just for the fact its so many people and crowded.  Its just too much stimulation for our son.,We haven't gone too many community events since its so many people and crowded. Its just too much stimulation for our son.,0.693682793,4,True,2.1962278431239506,0,False,1.5025450501239506
153,153,153,840,4,We haven't done too many community events just for the fact its so many people and crowded.  Its just too much stimulation for our son.,We haven't done too many community events because it's so many people and crowded. It's just too much stimulation for our young son.,0.695282995,4,True,2.1962278431239506,0,False,1.500944848123951
154,154,154,840,4,We haven't done too many community events just for the fact its so many people and crowded.  Its just too much stimulation for our son.,We did most of the community events but we were too busy and had too much stimulation.,0.999253273,4,True,2.1962278431239506,0,False,1.1969745701239507
155,155,155,840,4,We haven't done too many community events just for the fact its so many people and crowded.  Its just too much stimulation for our son.,We haven't done too many community events just the fact its so many people and crowded. Its just too much stimulation for our son.,0.718277501,4,True,2.1962278431239506,0,False,1.4779503421239506
156,156,156,840,4,We haven't done too many community events just for the fact its so many people and crowded.  Its just too much stimulation for our son.,"When it comes to community events, we prefer smaller gatherings.",1.189809759,4,True,2.1962278431239506,0,False,1.0064180841239505
157,157,157,840,4,We haven't done too many community events just for the fact its so many people and crowded.  Its just too much stimulation for our son.,We haven't done too many community events just for the fact the it is so many people and crowded.,1.115329191,4,True,2.1962278431239506,0,False,1.0808986521239503
158,158,158,840,4,We haven't done too many community events just for the fact its so many people and crowded.  Its just too much stimulation for our son.,We haven't done too many community events just for the fact its so many people and crowded. Its just too much stimulation for our son.,0.700516102,4,True,2.1962278431239506,0,False,1.4957117411239509
159,159,159,840,4,We haven't done too many community events just for the fact its so many people and crowded.  Its just too much stimulation for our son.,We haven't done too many community events just for the fact its so many people and crowded. Its just too much stimulation for us.,0.809426715,4,True,2.1962278431239506,0,False,1.3868011281239507
188,188,188,840,1,Sometimes at mealtimes we get out an apron and stool so he can help us cook dinner etc.,Sometimes at mealtimes we get out an apron and stool so he can help us cook dinner.,1.662926267,1,True,2.396652674106508,0,False,0.7337264071065079
189,189,189,840,1,Sometimes at mealtimes we get out an apron and stool so he can help us cook dinner etc.,"Sometimes, at mealtimes, we get out an apron and stool, so he can help us cook dinner.",1.597943502,1,True,2.396652674106508,0,False,0.798709172106508
190,190,190,840,1,Sometimes at mealtimes we get out an apron and stool so he can help us cook dinner etc.,During mealtimes we get him out an apron and stool so he can help us cook dinner.,1.674103743,1,True,2.396652674106508,0,False,0.7225489311065079
191,191,191,840,1,Sometimes at mealtimes we get out an apron and stool so he can help us cook dinner etc.,We get aprons and chairs on the table so he can help us.,1.572396737,1,True,2.396652674106508,0,False,0.8242559371065079
192,192,192,840,1,Sometimes at mealtimes we get out an apron and stool so he can help us cook dinner etc.,"Sometimes at mealtimes I get out an apron and stool so he can help us cook dinner, etc.",1.882110904,1,True,2.396652674106508,0,False,0.514541770106508
193,193,193,840,1,Sometimes at mealtimes we get out an apron and stool so he can help us cook dinner etc.,Sometimes at mealtimes we get out an apron and stool so he can help us cook dinner ect.,1.645468654,1,True,2.396652674106508,0,False,0.7511840201065079
194,194,194,840,0,Earlier in the day is better.,Prioritise early in the day.,1.390874141,0,True,1.7142213381829274,0,True,0.3233471971829273
206,206,206,840,1,"We are trying to get our son to be more involved in personal care management.  For example, giving him the chance to pick out his own clothes.","We are trying to get our son more involved in personal care management. For example, giving him the chance to pick out his own clothes.",1.558528129,1,True,2.396652674106508,0,False,0.838124545106508
207,207,207,840,1,"We are trying to get our son to be more involved in personal care management.  For example, giving him the chance to pick out his own clothes.","We are trying to get our son to be more involved in personal care management. For example, giving him the chance to pick out his own clothes.",1.521517591,1,True,2.396652674106508,0,False,0.8751350831065079
208,208,208,840,1,"We are trying to get our son to be more involved in personal care management.  For example, giving him the chance to pick out his own clothes.","We are trying to get our son to be more involved in personal care. For example, giving him the chance to pick out his own clothes.",1.467044045,1,True,2.396652674106508,0,False,0.929608629106508
209,209,209,840,1,"We are trying to get our son to be more involved in personal care management.  For example, giving him the chance to pick out his own clothes.","We are trying to get our son to be more involved in his personal care management. For example, giving him the chance to pick out his own clothes.",1.457958609,1,True,2.396652674106508,0,False,0.938694065106508
210,210,210,840,1,"Our son loves to mix ingredients, so we get out our stool and apron, and he helps to make meals.","Our son loves to help in the kitchen so we get out our stool and apron, and he helps to put the ingredients together.",1.96334795,4,False,2.396652674106508,0,False,0.433304724106508
211,211,211,840,1,"Our son loves to mix ingredients, so we get out our stool and apron, and he helps to make meals.","Our son loves to bake, so we get out our stool and apron, and he helps us make meals.",1.541504145,1,True,2.396652674106508,0,False,0.855148529106508
212,212,212,840,1,"Our son loves to mix ingredients, so we get out our stool and apron, and he helps to make meals.","Our son likes to mix ingredients so we get out our stool and apron, and he helps to make meals.",1.769241879,1,True,2.396652674106508,0,False,0.627410795106508
213,213,213,840,1,"Our son loves to mix ingredients, so we get out our stool and apron, and he helps to make meals.","Our son loves to mix ingredients. So we get out our stool and apron, and he helps to make meals.",1.753973876,1,True,2.396652674106508,0,False,0.6426787981065079
214,214,214,840,1,"Our son loves to mix ingredients, so we get out our stool and apron, and he helps to make meals.","Our son loved to mix ingredients, so we got out our stool and apron, and he helped to make meals.",1.715901699,1,True,2.396652674106508,0,False,0.680750975106508
215,215,215,840,1,"Our son loves to mix ingredients, so we get out our stool and apron, and he helps to make meals.","Our boy loves to mix ingredients, so we get out our stool and apron, and he helps to make meals.",1.658527462,1,True,2.396652674106508,0,False,0.738125212106508
216,216,216,840,1,"Our son loves to mix ingredients, so we get out our stool and apron, and he helps to make meals.",Our son loves to mix ingredients so we get out the stool and apron and he helps to make meals.,1.857670562,4,False,2.396652674106508,0,False,0.5389821121065079
239,239,239,840,0,Keeping things simple.,Keep things simple.,1.420850974,0,True,1.7142213381829274,0,True,0.2933703641829275
253,253,253,840,0,We have our costumes easily accessible so we can play dress up.,We can play dress up because we have all our costumes easily accessible.,1.516576466,0,True,1.7142213381829274,0,True,0.1976448721829273
256,256,256,840,0,We go to the library to take out cd's and also audio books with pictures.,We buy cds and audio books.,1.473469479,0,True,1.7142213381829274,0,True,0.2407518591829274
283,283,283,840,4,"Hiking is great, he knows to stay on the path.",Hiking is great but he needs to stay on the path.,0.762452741,4,True,2.1962278431239506,0,False,1.4337751021239504
284,284,284,840,4,"Hiking is great, he knows to stay on the path.",Hiking is great and he knows to stay on the path.,0.979949728,4,True,2.1962278431239506,0,False,1.2162781151239506
285,285,285,840,4,"Hiking is great, he knows to stay on the path.","Hiking is great, he enjoys staying on the path.",0.901584575,4,True,2.1962278431239506,0,False,1.2946432681239506
286,286,286,840,4,"Hiking is great, he knows to stay on the path.",Hiking is great; he knows to stay on the path.,1.025839269,4,True,2.1962278431239506,0,False,1.1703885741239506
296,296,296,840,0,Controlled environment,Controlled Environment,1.31609655,0,True,1.7142213381829274,0,True,0.3981247881829275
314,314,314,840,1,"As for mealtimes, we have some of his favourites but also we try to put something new on his plate to try.  Sometimes he just kisses or licks the new food item.  Other times we can get him to take a bite of the new food item.  He earns extra electronic time if he tries new foods.",Mealtimes involves some of his favourites but also we try to put something new on his plate to try. Sometimes he just kisses or licks the new food item. Other times we can get him to take a bite of the new food item. He earns extra electronic time if he tries new foods.,2.018854329,1,True,2.396652674106508,0,False,0.3777983451065081
