,Unnamed: 0.1,Unnamed: 0,ID,label,strategy,augmented_strategy,H_yx,predicted_label_null_x,correct_yx,H_yb,predicted_label_null_y,correct_yb,PVI
116,116,116,840,0,Bringing some activities to keep our son sitting at the table.,Bringing some activities to keep our son up at the table.,1.230994532,0,TRUE,1.7142213381829274,0,TRUE,0.4832268061829274
117,117,117,840,0,Bringing some activities to keep our son sitting at the table.,Bringing some activities to keep our son sitting.,1.233124574,0,TRUE,1.7142213381829274,0,TRUE,0.4810967641829273
125,125,125,840,0,Going to places where it is not too big so we can give him the unstructured opportunities.,Going to places where it is not too big so we can give him unstructured opportunities,1.171234093,0,TRUE,1.7142213381829274,0,TRUE,0.5429872451829274
130,130,130,840,0,Finding restaurants that are kid friendly.,Find restaurants that are kid friendly.,1.190886227,0,TRUE,1.7142213381829274,0,TRUE,0.5233351111829274
132,132,132,840,0,Finding restaurants that are kid friendly.,Find family friendly restaurants.,1.05709109,0,TRUE,1.7142213381829274,0,TRUE,0.6571302481829275
134,134,134,840,0,Finding restaurants that are kid friendly.,Having dinner with families who will be staying together.,1.059603055,0,TRUE,1.7142213381829274,0,TRUE,0.6546182831829275
136,136,136,840,0,Finding restaurants that are kid friendly.,Looking for place to eat that have kids friendly option.,1.19660217,0,TRUE,1.7142213381829274,0,TRUE,0.5176191681829274
138,138,138,840,0,Finding restaurants that are kid friendly.,Finding restaurants that are family friendly.,1.101289851,0,TRUE,1.7142213381829274,0,TRUE,0.6129314871829274
143,143,143,840,0,Playing together as a family.,Playing at home with your family.,1.077585729,0,TRUE,1.7142213381829274,0,TRUE,0.6366356091829275
144,144,144,840,0,Playing together as a family.,Playing with the family in the house,1.029824404,0,TRUE,1.7142213381829274,0,TRUE,0.6843969341829275
145,145,145,840,0,Playing together as a family.,Getting together as a family.,1.043571906,0,TRUE,1.7142213381829274,0,TRUE,0.6706494321829275
146,146,146,840,0,Playing together as a family.,playing together as a family on a summer s day.,1.176486495,0,TRUE,1.7142213381829274,0,TRUE,0.5377348431829274
358,358,358,840,0,Parties and guests I like to have over during the day so that it is not close to bed time.,Parties and guests I like to have over in the day so that it is not close to bed time.,1.25180971,0,TRUE,1.7142213381829274,0,TRUE,0.4624116281829273
848,848,848,171,0,Screen time is limited,Play at minimal screen time while still having a good level.,1.181800421,0,TRUE,1.7142213381829274,0,TRUE,0.5324209171829275
903,903,903,02-003,0,Shut TV off more,Shut the lights off more,1.201697694,0,TRUE,1.7142213381829274,0,TRUE,0.5125236441829275
904,904,904,02-003,0,Shut TV off more,Shut the TV off more,1.17046316,0,TRUE,1.7142213381829274,0,TRUE,0.5437581781829275
909,909,909,02-003,0,Shut TV off more,Shut the TV off more often,1.072696746,0,TRUE,1.7142213381829274,0,TRUE,0.6415245921829273
911,911,911,02-003,0,Shut TV off more,Shut the TV down more,1.093016583,0,TRUE,1.7142213381829274,0,TRUE,0.6212047551829274
940,940,940,02-003,0,Maintain friendly relationship with sitter,Maintain friendly relationships with teachers,1.221659231,0,TRUE,1.7142213381829274,0,TRUE,0.4925621071829273
942,942,942,02-003,0,Maintain friendly relationship with sitter,Maintain friendly relationship with babysitter,1.167188678,0,TRUE,1.7142213381829274,0,TRUE,0.5470326601829274
944,944,944,02-003,0,Maintain friendly relationship with sitter,Make a friendly relationship with sitter,1.132317055,0,TRUE,1.7142213381829274,0,TRUE,0.5819042831829275
946,946,946,02-003,0,Maintain friendly relationship with sitter,Maintaining friendly relationship with teacher/caregiver and keeping in touch with one another,1.235724878,0,TRUE,1.7142213381829274,0,TRUE,0.4784964601829273
986,986,986,02-003,0,Offer more opportunities,Offer more environments,1.208743394,0,TRUE,1.7142213381829274,0,TRUE,0.5054779441829274
990,990,990,02-003,0,Offer more opportunities,Offer more opportunities to learn,1.249309061,0,TRUE,1.7142213381829274,0,TRUE,0.4649122771829275
1099,1099,1099,02-003,0,Keep his routines the same,Keep his environment the same,1.069329337,0,TRUE,1.7142213381829274,0,TRUE,0.6448920011829273
1138,1138,1138,72,0,take a toy,Take a toy home.,1.211698359,0,TRUE,1.7142213381829274,0,TRUE,0.5025229791829275
1139,1139,1139,72,0,read books about outings,read books about local events and outings,0.98545419,0,TRUE,1.7142213381829274,0,TRUE,0.7287671481829274
1140,1140,1140,72,0,read books about outings,Read about outings in books.,1.200899837,0,TRUE,1.7142213381829274,0,TRUE,0.5133215011829275
1142,1142,1142,72,0,read books about outings,Read books about outings,1.049261597,0,TRUE,1.7142213381829274,0,TRUE,0.6649597411829273
1143,1143,1143,72,0,read books about outings,read books about neighborhood outings,1.081791867,0,TRUE,1.7142213381829274,0,TRUE,0.6324294711829275
1144,1144,1144,72,0,read books about outings,Read books about outings.,1.111114179,0,TRUE,1.7142213381829274,0,TRUE,0.6031071591829273
1145,1145,1145,72,0,read books about outings,Read books on the topic of neighborhood outings,1.021195031,0,TRUE,1.7142213381829274,0,TRUE,0.6930263071829275
1148,1148,1148,72,0,Try to go more,Try to go more often,1.23745058,0,TRUE,1.7142213381829274,0,TRUE,0.4767707581829274
1149,1149,1149,72,0,Try to go more,Try to get more friends,1.093521213,0,TRUE,1.7142213381829274,0,TRUE,0.6207001251829274
1152,1152,1152,72,0,Try to go more,Try to go to more neighborhood outings.,1.200930576,0,TRUE,1.7142213381829274,0,TRUE,0.5132907621829275
1154,1154,1154,72,0,Try to go more,Try to do more neighborhood outings in the community.,1.138744379,0,TRUE,1.7142213381829274,0,TRUE,0.5754769591829274
1155,1155,1155,72,0,Try to go more,Try to go more for neighborhood outings in community setting.,1.114233259,0,TRUE,1.7142213381829274,0,TRUE,0.5999880791829275
1156,1156,1156,72,0,read books about it,Read books about it.,1.164385555,0,TRUE,1.7142213381829274,0,TRUE,0.5498357831829275
1159,1159,1159,72,0,read books about it,Read books about it,1.109667155,0,TRUE,1.7142213381829274,0,TRUE,0.6045541831829275
1168,1168,1168,72,0,bring something familiar to him,come with him on some trip,1.200437341,0,TRUE,1.7142213381829274,0,TRUE,0.5137839971829274
1185,1185,1185,72,0,social stories,Create social stories that are specific to the environment.,1.15563328,0,TRUE,1.7142213381829274,0,TRUE,0.5585880581829274
1192,1192,1192,72,0,read stories about these activities,Read stories about these activities,1.13359359,0,TRUE,1.7142213381829274,0,TRUE,0.5806277481829274
1193,1193,1193,72,0,read stories about these activities,Read stories about these activities.,1.229284898,0,TRUE,1.7142213381829274,0,TRUE,0.4849364401829275
1194,1194,1194,72,0,read stories about these activities,Read stories about these activities at the library.,1.218132758,0,TRUE,1.7142213381829274,0,TRUE,0.4960885801829273
1326,1326,1326,72,0,read books to him about it,read some books to him about it,1.125454586,0,TRUE,1.7142213381829274,0,TRUE,0.5887667521829274
1328,1328,1328,72,0,picture schedule,a picture schedule,1.174918842,0,TRUE,1.7142213381829274,0,TRUE,0.5393024961829274
1331,1331,1331,72,0,picture schedule,a picture schedule to see the new movie,1.064286397,0,TRUE,1.7142213381829274,0,TRUE,0.6499349411829274
1337,1337,1337,72,0,make chore list,make a task list for your child,1.256341325,0,TRUE,1.7142213381829274,0,TRUE,0.4578800131829275
1338,1338,1338,72,0,make chore list,make chore list to complete,1.03994635,0,TRUE,1.7142213381829274,0,TRUE,0.6742749881829275
1346,1346,1346,72,0,make social stories,Make social stories.,1.15519857,0,TRUE,1.7142213381829274,0,TRUE,0.5590227681829274
