ID	label	strategy	augmented_strategy	H_yx	predicted_label	correct_yx
840	1	House guests - I like to have people over that include our son and get along well with him.	A couple who are very close are going to do a good job at this house.	2.813577865	4	FALSE
840	1	House guests - I like to have people over that include our son and get along well with him.	I like to have people over that include our son and get along well with him.	2.156516608	4	FALSE
840	1	House guests - I like to have people over that include our son and get along well with him.	Sense of Self: To have people over to meet / introduce them to / invite them over on the phone/phone. Sense of Self: To get along well with someone.	1.629876017	1	TRUE
840	1	House guests - I like to have people over that include our son and get along well with him.	I like to invite people who get along well with our son.	1.927904369	4	FALSE
840	1	House guests - I like to have people over that include our son and get along well with him.	I like to have people over that include our son and get along well with him.	2.156516608	4	FALSE
840	1	House guests - I like to have people over that include our son and get along well with him.	Sense of Self strategy: Home guests - I like to have people over that include our son and get along well with him.	2.145289478	4	FALSE
840	1	House guests - I like to have people over that include our son and get along well with him.	I want to invite other people that I have known to our family.	2.401084931	4	FALSE
840	1	House guests - I like to have people over that include our son and get along well with him.	"House guests, if you are a lover of our son, will include him."	1.96414946	4	FALSE
840	1	House guests - I like to have people over that include our son and get along well with him.	I like people over to see if we have new friends.	1.771217413	4	FALSE
840	1	We get out the apron and stool so he can help us with measuring and pouring.	We get out the stool so our friend can help with measuring and pouring.	1.469532817	1	TRUE
840	1	We get out the apron and stool so he can help us with measuring and pouring.	We take a stool and a apron out of the way.	1.546413357	1	TRUE
840	1	We get out the apron and stool so he can help us with measuring and pouring.	"To help him with measuring and pouring, we open up the apron and a stool and put a piece of paper on it."	1.46281265	1	TRUE
840	1	We get out the apron and stool so he can help us with measuring and pouring.	We sit down and hold the apron and stool open.	1.544379794	1	TRUE
840	1	We get out the apron and stool so he can help us with measuring and pouring.	"We take a stroll down the street in a wheelchair and let someone help us. (For example: You may want to walk by yourself if you're doing that, but you don't need to worry about standing in traffic if you can afford a stroller.) We walk into a dark, open room at the apartment building and pick up a newspaper."	1.54366564	1	TRUE
840	1	We get out the apron and stool so he can help us with measuring and pouring.	"We open a bar with a table, and have someone give us a beer and help with the measuring and pouring as we turn our tables."	1.605333341	1	TRUE
840	1	We get out the apron and stool so he can help us with measuring and pouring.	We make sure all tools are well stocked and ready for use.	1.706823769	1	TRUE
840	1	We get out the apron and stool so he can help us with measuring and pouring.	Seeing someone cooking is Sense of Self.	2.263953533	0	FALSE
840	0	We go to restaurants I know our son will sit down and eat.	Our son will sit down and eat at restaurants we know he will like.	2.483421322	4	FALSE
840	0	We go to restaurants I know our son will sit down and eat.	Our son will go to a local restaurant as a group.	2.713013659	4	FALSE
840	0	We go to restaurants I know our son will sit down and eat.	We go to restaurants so our son can eat.	1.731002769	0	TRUE
840	0	Small groups	Small groups are better at presenting themselves as important as larger groups.	2.461834992	4	FALSE
840	0	Small groups	Small groups can have an interesting project together and work on it quickly.	1.589730334	0	TRUE
840	0	Small groups	Small groups are good for family reunions.	2.021558968	4	FALSE
840	0	Small groups	Small groups are usually the best way to train a team.	2.416201948	2	FALSE
840	0	Small groups	Small groups gathered to discuss economic development.	1.790556898	0	TRUE
840	0	Small groups	Small groups take on large groups at their small meetings	1.865699501	0	TRUE
840	0	We have a really great music teacher that keeps our son engaged in the class.	Our son is a very good student.	3.192064974	4	FALSE
840	0	We have a really great music teacher that keeps our son engaged in the class.	We have a really good music teacher that keeps our son engaged in the class.	2.534220261	4	FALSE
840	0	We have a really great music teacher that keeps our son engaged in the class.	Our son was excited when he had the music teacher.	2.800771593	4	FALSE
840	0	We have a really great music teacher that keeps our son engaged in the class.	We want them to give their son a very prestigious music teacher.	2.966598676	4	FALSE
840	0	We have a really great music teacher that keeps our son engaged in the class.	We have an excellent teacher who keeps our son interested in the class.	2.833087609	4	FALSE
840	0	We have a really great music teacher that keeps our son engaged in the class.	We have a great music teacher that gets our son's attention.	2.575041305	4	FALSE
840	0	"Our son likes to have time on the computer, so he has time on our Ipad.  "	"Our son likes to have time on the computer, so he has time on our iPad."	2.592254431	4	FALSE
840	0	"Our son likes to have time on the computer, so he has time on our Ipad.  "	"Our son used to have time on the computer, so he has time on our Ipad."	2.612948884	4	FALSE
840	0	"Our son likes to have time on the computer, so he has time on our Ipad.  "	Our son likes to have time on the iPad because he can work without having to download programs.	2.699621044	4	FALSE
840	0	"Our son likes to have time on the computer, so he has time on our Ipad.  "	"Our son likes to have time on the computer, so he has time on our Ipad."	2.592254431	4	FALSE
840	0	"Our son likes to have time on the computer, so he has time on our Ipad.  "	Our son loves playing Minecraft.	3.010091987	4	FALSE
840	0	"Our son likes to have time on the computer, so he has time on our Ipad.  "	"We have two computer products, we have phones and Ipads."	1.775510424	0	TRUE
840	4	"We had a family vacation this summer where we stayed in a hotel and flew out the next day.  We had lots of energy but we had our favourite movies, snacks and bear with us."	We went to a restaurant.	2.305262415	0	FALSE
840	4	"We had a family vacation this summer where we stayed in a hotel and flew out the next day.  We had lots of energy but we had our favourite movies, snacks and bear with us."	We will stay in a hotel for the next month and then fly out the next day before the vacation to take off.	0.896085855	4	TRUE
840	4	"We had a family vacation this summer where we stayed in a hotel and flew out the next day.  We had lots of energy but we had our favourite movies, snacks and bear with us."	Our family stayed in a hotel and flew out the next day.	1.176119099	4	TRUE
840	4	"We had a family vacation this summer where we stayed in a hotel and flew out the next day.  We had lots of energy but we had our favourite movies, snacks and bear with us."	We stayed in a hotel and flew out the next day.	1.396395952	4	TRUE
840	4	"We had a family vacation this summer where we stayed in a hotel and flew out the next day.  We had lots of energy but we had our favourite movies, snacks and bear with us."	"We had a lot of energy but we had our favourite films, snacks and bear with us."	1.510022841	4	TRUE
840	4	"We had a family vacation this summer where we stayed in a hotel and flew out the next day.  We had lots of energy but we had our favourite movies, snacks and bear with us."	"We didnâ€™t plan out the trip and left it in the airport, which is where they got the worst of all."	0.965432232	4	TRUE
840	0	"We sing songs while cleanning up. If he wants to do something else, we say to him ""first we need to clean up our toys, then we can watch a movie""."	We go to the theater and see a movie.	1.651013376	0	TRUE
840	0	"We sing songs while cleanning up. If he wants to do something else, we say to him ""first we need to clean up our toys, then we can watch a movie""."	"The kids need to clean up our toys, if we sing songs. We sing songs to him and he wants to tell us to do something else."	2.424676695	4	FALSE
840	0	"We sing songs while cleanning up. If he wants to do something else, we say to him ""first we need to clean up our toys, then we can watch a movie""."	"We sing songs while we clean up our toys, then we say to him ""first we need to clean up our toys, then we can watch a movie""."	2.277262706	1	FALSE
840	0	"We sing songs while cleanning up. If he wants to do something else, we say to him ""first we need to clean up our toys, then we can watch a movie""."	We don't clean up until we're done.	2.23981112	4	FALSE
840	0	"We sing songs while cleanning up. If he wants to do something else, we say to him ""first we need to clean up our toys, then we can watch a movie""."	"We sing songs while cleaning up our toys, then we say to him ""first we need to clean up our toys, then we can watch a movie""."	2.286364288	1	FALSE
840	0	"We sing songs while cleanning up. If he wants to do something else, we say to him ""first we need to clean up our toys, then we can watch a movie""."	"We sing songs while we clean up. If he wants to do something else, we say to him ""first we need to clean up our toys, then we can watch a movie""."	2.180628078	1	FALSE
840	0	We bought some fun kids soap for the bathroom so he will want his hands more often.	The kid's hands are going to be dirty.	2.651682063	4	FALSE
840	0	We bought some fun kids soap for the bathroom so he will want his hands more often.	We bought some fun kids soap for his body.	1.867399079	0	TRUE
840	0	We bought some fun kids soap for the bathroom so he will want his hands more often.	The kids' soap will smell like new and it will make his hands smell even better in the bathroom.	2.174517296	4	FALSE
840	0	We bought some fun kids soap for the bathroom so he will want his hands more often.	We bought some fun kids soap.	1.541800303	0	TRUE
840	0	We bought some fun kids soap for the bathroom so he will want his hands more often.	Dad bought soap for his kids and his hands will be messy.	2.68648792	4	FALSE
840	0	"We bring some of his favourite things to play on in group settings such as a party.  For example, his DS or our Ipad for games.  It keeps him settled and focused."	Our child has a lot of toys to play with. One of our favourite things is his DS or our Ipad.	2.817705375	4	FALSE
840	0	"We bring some of his favourite things to play on in group settings such as a party.  For example, his DS or our Ipad for games.  It keeps him settled and focused."	It is possible to bring him a tablet like his DS or an ipad that is in the group settings such as a party.	2.001882804	0	TRUE
840	0	"We bring some of his favourite things to play on in group settings such as a party.  For example, his DS or our Ipad for games.  It keeps him settled and focused."	A kids favourite game such as DS or our iPad. This is for him.	2.43426662	4	FALSE
840	0	"We bring some of his favourite things to play on in group settings such as a party.  For example, his DS or our Ipad for games.  It keeps him settled and focused."	"We bring his favourite things to play on in group settings such as a party. For example, his DS or our Ipad for games. It keeps him settled and focused."	1.91936705	1	FALSE
840	0	"We bring some of his favourite things to play on in group settings such as a party.  For example, his DS or our Ipad for games.  It keeps him settled and focused."	"He loves to connect with us on his smartphone. When we are home of DS or our Ipad, he is not stuck in an occupied, unintelligible zone. He is happy while he's playing games. While they're arguing, he doesn't mind when that's the first time he's been alone."	2.736033978	4	FALSE
840	0	"We bring some of his favourite things to play on in group settings such as a party.  For example, his DS or our Ipad for games.  It keeps him settled and focused."	They bring their son the Nintendo Wii U games (DS). It's best to bring this device together in group settings.	2.664930278	4	FALSE
840	0	We have a mini trampoline that helps all the kids burn off some energy.	We have a trampoline with a xylophone pole above it.	2.26251518	1	FALSE
840	0	We have a mini trampoline that helps all the kids burn off some energy.	We have a trampoline that helps all the kids burn off some energy.	1.686882112	4	FALSE
840	0	We have a mini trampoline that helps all the kids burn off some energy.	We have a mini trampoline that helps with kicking and jumping.	2.132310081	4	FALSE
840	0	We have a mini trampoline that helps all the kids burn off some energy.	We have a mini trampoline that only costs $10 per kid.	2.433464759	4	FALSE
