,label,ID,strategy,augmented_strategy
0,1,840,House guests - I like to have people over that include our son and get along well with him., 
1,1,840,We get out the apron and stool so he can help us with measuring and pouring., 
2,0,840,We go to restaurants I know our son will sit down and eat., 
3,0,840,Small groups, 
4,0,840,We have a really great music teacher that keeps our son engaged in the class., 
5,0,840,"Our son likes to have time on the computer, so he has time on our Ipad.  ", 
6,4,840,"We had a family vacation this summer where we stayed in a hotel and flew out the next day.  We had lots of energy but we had our favourite movies, snacks and bear with us.", 
7,0,840,"We sing songs while cleanning up. If he wants to do something else, we say to him ""first we need to clean up our toys, then we can watch a movie"".", 
8,0,840,We bought some fun kids soap for the bathroom so he will want his hands more often., 
9,0,840,"We bring some of his favourite things to play on in group settings such as a party.  For example, his DS or our Ipad for games.  It keeps him settled and focused.", 
10,0,840,We have a mini trampoline that helps all the kids burn off some energy., 
11,0,840,We avoid busy crowded events that would be too much for our son., 
12,0,840,We try not to over stimulate him with too many people which can creat too much excitement for him., 
13,0,840,"We give our son jobs, and one is to help his siblings.  Also, we are getting him to put away his clean clothes and it helps that he has an older brother to help.", 
14,2,840,Finding restaurants that serve food that our son likes., 
15,0,840,We try to use our bikes lots and go to the pool., 
16,0,840,Bringing some activities to keep our son sitting at the table., 
17,0,840,Going to places where it is not too big so we can give him the unstructured opportunities., 
18,0,840,Finding restaurants that are kid friendly., 
19,0,840,We have seen a couple of movies in the theatre and go in the morning when it is less busy., 
20,0,840,Playing together as a family., 
21,0,840,We bring his DS or Ipad to help keep our son settled and sitting down while we are at the doctors etc., 
22,4,840,We haven't done too many community events just for the fact its so many people and crowded.  Its just too much stimulation for our son., 
23,0,840,We have a new sand box in our back yard and we take out all our trucks and trains.  He loves to reenact books or movies., 
24,0,840,"Our son has his own room with some of his favourite toys, books, etc that he can play with. ", 
25,0,840,We typically invite friends or family that we know get along with our son in a positive way., 
26,0,840,He sees his brothers doing the same basic care routines so he usually likes to join in., 
27,1,840,Sometimes at mealtimes we get out an apron and stool so he can help us cook dinner etc., 
28,0,840,Earlier in the day is better., 
29,1,840,"We are trying to get our son to be more involved in personal care management.  For example, giving him the chance to pick out his own clothes.", 
30,1,840,"Our son loves to mix ingredients, so we get out our stool and apron, and he helps to make meals.", 
31,0,840,We have really good friends that helps us with activities in the community., 
32,0,840,He loves the games we have on the IPAD and it helps him with his letters and numbers too., 
33,0,840,We have recently started going to movies and he likes them alot.  We bring along some of his favourite treats to keep him in his seat., 
34,0,840,Keeping things simple., 
35,0,840,We have our costumes easily accessible so we can play dress up., 
36,0,840,We go to the library to take out cd's and also audio books with pictures., 
37,0,840,As for social gatherings we try not to attend too many but a few that we know he would like. Our son has a few good friends that they play really well and so we try to schedule those a few times a week., 
38,0,840,We try to find activities that is a right fit for our son., 
39,0,840,For community attractions - we like to go earlier in the day when there is less people and therefore less noise and stimulation., 
40,4,840,"Hiking is great, he knows to stay on the path.", 
41,0,840,We also have a mini trampoline to help him with burning off some energy., 
42,0,840,Controlled environment, 
43,0,840,Clean up - we sing songs too and have his siblings help as well., 
44,0,840,"We try to keep kid friendly doctors, dentists etc.  ", 
45,1,840,"As for mealtimes, we have some of his favourites but also we try to put something new on his plate to try.  Sometimes he just kisses or licks the new food item.  Other times we can get him to take a bite of the new food item.  He earns extra electronic time if he tries new foods.", 
46,4,840,We have not enrolled our son in any organized groups but perhaps once he starts school he will show some interest., 
47,0,840,Social gatherings - we like to keep it simple and with people our son is familiar with., 
48,0,840,We use an hour glass timer to brush his teeth.  The timer is a 2 minute timer that he can watch the sand go through., 
49,0,840,He loves the water and the beach.  Bringing lots of sand toys to build and dig., 
50,0,840,We have story time each nite before bed.  Sometimes we listen to books on tape while the holding the book., 
51,0,840,Parties and guests I like to have over during the day so that it is not close to bed time., 
52,0,840,We try to keep the holiday gatherings and birthday parties simple and not too many people., 
53,0,840,Keeping the classes short and on task really helps our son., 
54,4,840,We have not tried any organized sports yet but would like to try in the future., 
55,0,840,"We all try to use a calm voice and ""use our words"".", 
56,2,840,We add food colouring to water to make it fun and more stimulating.  , 
57,0,840,Unloading the groceries we sing songs and he unloads all his favorite foods!, 
58,0,840,We have a new park and playground which is great and we ride our bikes there and back., 
59,0,840,We have music lessons once a week and our son really likes it.  He has a great teacher who keeps his attention and gets him to participate., 
60,3,01-103,Development (fine + gross motor), 
61,1,01-103,Development--> freedom to explore + play with some structure + routine, 
62,4,01-103,speech, 
63,0,01-103,Socialization, 
64,3,01-103,"Gross motor--> trampoline, climbing wall, bikes, playing with siblings", 
65,0,01-103,It takes 2 to talk- ??? Program for speech therapy, 
66,0,01-103,Socialization, 
67,3,01-103,"Gross motor--> trampoline, climbing wall, bikes, playing with siblings", 
68,4,01-103,It takes 2 to talk- ??? Program for speech therapy, 
69,4,01-103,speech, 
70,1,01-103,Development--> freedom to explore + play with some structure + routine, 
71,4,01-103,Development (fine + gross motor), 
72,2,01-029,We offer choices in foods/ snacks- encourage her to choose from options, 
73,4,01-029,Would love more initiative shown in dressing and personal care, 
74,1,01-029,Encourage to help tidy and put away prior to moving to another activity, 
75,1,01-029,Positive encouragement, 
76,4,01-029,NOT IN DAYCARE, 
77,4,01-029,Jennifer handles the changes well in the home, 
78,2,01-029,Encourage interest, 
79,4,01-029,*House guests are difficult in our home. We foster medically fragile children so this doesn't happen a lot., 
80,4,01-029,Would love her to be more involved in choosing healthy meals and snacks, 
81,4,01-029,NOT IN DAYCARE, 
82,1,01-029,Encourage to participate in a variety of different activities, 
83,0,01-029,Our adult-child ratio is typically 1:2 or at times 1:1. Typically well supported through events/activities, 
84,1,01-029,We attempt to get her to help gather supplies, 
85,4,01-029,NOT IN DAYCARE, 
86,0,01-029,Role modelling, 
87,0,171,hire more experience teachers - young teachers who have not completed school and have no children of their own do not understand the realities of handling children, 
88,0,171,Needs quiet activities - that do not overstimulate him, 
89,1,171,Positive Reinforcement for helping with cleaning , 
90,2,171,Screen time is a reward for good behavior, 
91,0,171,bringing in additional assistance - occupational therapists to assist teachers, 
92,2,171,motivation - if he behaves while running errands he can get a treat, 
93,2,171,consequences - if he does not behave then he will not get to run his errand to the ice cream store, 
94,2,171,Motivational Rewards for taking care of their toys, 
95,1,171,Positive reinforcement & rewards for doing these chores with out being asked, 
96,0,171,Needs to change activities often to keep his attention, 
97,0,171,Exercise programs - for young children to help them keep their senses in balance, 
98,0,171,"we have a lot of family in town and they have good relationships with their grandparents, aunts, uncles and cousins", 
99,0,171,We have flexible work schedules which allow us to be home with the kids some times - rather than have them in daycare all of the time, 
100,1,171,Positive reinforcement for completing these chores independently, 
101,2,171,Motivational rewards for completing the chores independently, 
102,0,171,Screen time is limited, 
103,2,171,Screen time is a consequence for poor choices, 
104,0,171,packing a book and blanket - he can curl up in the back of a shopping cart - it is his own little fort, 
105,2,171,Have options to write or color - he focuses well on writing or drawing, 
106,0,171,Parental involvement is important, 
107,2,171,Consequences of losing the toys they don't take care of, 
108,0,02-003,Try to keep any connotation away from it, 
109,1,02-003,When he helps give lots of encouragement, 
110,1,02-003,"A lot is afe and personality, very reserved. Let him come out of shell on his own", 
111,0,02-003,Shut TV off more, 
112,1,02-003,Offer encouragement, 
113,0,02-003,I try not to allow his siblings to control him too much, 
114,0,02-003,Increase parental social life, 
115,0,02-003,Maintain friendly relationship with sitter, 
116,1,02-003,Lots of encouragement and demonstrating, 
117,0,02-003,Because of age encourage siblings to let him participate, 
118,0,02-003,Show how to do the activity and allow him to copy, 
119,0,02-003,Try to be patient, 
120,0,02-003,Try to get siblings to let him do stuff, 
121,0,02-003,Offer more opportunities, 
122,1,02-003,Go to see/introduce to broader range, 
123,1,02-003,Getting him involved, 
124,0,02-003,Don't discourage sitters choices, 
125,0,02-003,When home alone allow more freedom, 
126,1,02-003,Reduce stress, 
127,1,02-003,When he does something I praise/thank him, 
128,1,02-003,Lettimg his see what he is capable of, 
129,1,02-003,We try to show that there's nothing to fear, 
130,1,02-003,We let him decide if he's ready to participate, 
131,1,02-003,Keep him going, 
132,1,02-003,Try to keep him involved, 
133,2,02-003,"When time to get dressed we expect him to help ie: we put the shirt over his head, he puts his arms through the sleeves", 
134,1,02-003,Extra encouragement when he does it as requested, 
135,0,02-003,Demonsrate how we like things done, 
136,0,02-003,Keep his routines the same, 
137,1,02-003,I try to let him do it himself, 
138,3,02-003,Help him where he's struggling, 
139,2,72,Get him to watch different shows, 
140,0,72,show him pictues of places we go, 
141,0,72,take a toy, 
142,0,72,read books about outings, 
143,0,72,Try to go more, 
144,0,72,read books about it, 
145,0,72,side by side play, 
146,0,72,bring something familiar to him, 
147,0,72,Using picture schedule, 
148,0,72,social stories, 
149,0,72,read stories about these activities, 
150,2,72,finding fun puzzels on tablet, 
151,1,72,Encourage to try new things, 
152,1,72,Get him comfortable, 
153,1,72,don't force him to socialize, 
154,1,72,encourage him a share and participate, 
155,0,72,bring things to occupy him, 
156,0,72,take him to familiar places, 
157,3,72,help him interact with others, 
158,0,72,bring his headphones, 
159,2,72,let him pick out different games to do on phone, 
160,0,72,make it a habit, 
161,0,72,read books to him about it, 
162,0,72,picture schedule, 
163,0,72,make chore list, 
164,0,72,make social stories, 
165,0,72,do rewards, 
166,0,72,just don't tell him we are going, 
167,0,72,"Make steps in which he can do it, doing paralle to him", 
168,2,72,make it a game, 
169,1,72,urging him to help and getting him excited about it, 
170,2,72,make it a game, 
171,0,72,get down and participate with him, 
172,0,72,put him in a room with less kids, 
173,2,72,Get him excited, 
174,4,72,he never has done them because he is not good in social settings, 
175,0,72,show him other children do it, 
176,1,72,encourage him to do it himself, 
177,2,72,Make it a game, 
178,2,72,make it a game, 
179,2,72,make it a game or routine, 
180,0,72,take own toys, 
181,1,72,taking turns doing it, 
182,0,72,try to avoid people and noises, 
183,0,72,keep organized, 
184,3,72,help him interact with others, 
185,0,72,show him other children doing it, 
186,2,72,do things he enjoys, 
187,2,72,Make it a game, 
188,0,72,bring familiar things with him, 
189,0,72,Read and tell stories about outings, 
190,0,72,go when other children aren't there, 
191,0,72,take familiar items, 
192,2,72,get him excited, 
193,0,72,bring familiar things, 
194,1,763,"When asked to pick up toys, she says, ""I don't know how to do that.""  When we do it together, she helps a little bit.", 
195,1,763,I would love for her to do more of the social things with the other kids.  She will do some things when encouraged and cheered on. , 
196,3,763,We work with her using her sensory bag and encourage her in everything she does., 
197,1,763,I have to promise to brush her hair slowly in order for her to allow me to do it., 
198,0,763,We have 5 sensory swings and a trampoline that all 3 kids love playing with., 
199,0,763,We have done swimming lessons in the past and will be doing again soon.  We are thinking about starting dance lessons for her as she loves to dance., 
200,0,763,"We try to do some compromises such as doing educational games that her OT has suggested to help with her sensory disorder, etc.", 
201,2,763,When she is offered an allowance to help out she becomes the best helper. , 
202,2,763,"We have ""races"" to see who can get dressed first, for example.", 
203,4,763,"She has wanted to be a doctor since before she turned 2 so through the community center she took a ""Hospital Helpers"" class.  She loved going, because it was important to her.  ", 
204,1,763,"She sometimes has to be encouraged to go to the park or beach, etc. but once there it's hard to hard to get her to leave.", 
205,0,763,Her teachers and the director are fabulous and are going to her OT appt with us so they can help her and others., 
