ID,label,strategy,augmented_strategy,H_yx,predicted_label_null,correct_yx
840,1,House guests - I like to have people over that include our son and get along well with him.,Guests over my house - I like to have people over that include our son and get along well with him.,2.222863903,4,FALSE
840,1,House guests - I like to have people over that include our son and get along well with him.,I like to invite people over that include our son and get along well with him.,1.992119989,4,FALSE
840,1,House guests - I like to have people over that include our son and get along well with him.,Having house guests - I like to have people over that include our son and get along well with him.,1.968110712,0,FALSE
840,1,House guests - I like to have people over that include our son and get along well with him.,I like to have people over that include our sons and get along well with him.,2.144035623,4,FALSE
840,1,House guests - I like to have people over that include our son and get along well with him.,I like to have people over that include our son and get along well with him.,2.15651632,4,FALSE
840,1,House guests - I like to have people over that include our son and get along well with him.,I like to have people over that include and get along well with our son.,2.276884778,4,FALSE
840,1,House guests - I like to have people over that include our son and get along well with him.,Like to have people over that include our son and get along well with him.,1.858412172,0,FALSE
840,1,House guests - I like to have people over that include our son and get along well with him.,"You know, I like to have people over that include our son and get along well with him.",2.463671551,4,FALSE
840,1,House guests - I like to have people over that include our son and get along well with him.,House guests - I like to have people over that are nice and get along well with our son.,2.10747812,4,FALSE
840,1,We get out the apron and stool so he can help us with measuring and pouring.,We get out the apron so he can help us with the measuring and pouring.,1.479367653,1,TRUE
840,1,We get out the apron and stool so he can help us with measuring and pouring.,We get out the apron and stool so he can help us measure and pour.,1.460113497,1,TRUE
840,1,We get out the apron and stool so he can help us with measuring and pouring.,We get out apron and stool so he can help us with measuring and pouring.,1.535478554,1,TRUE
840,1,We get out the apron and stool so he can help us with measuring and pouring.,We get out the apron and stool so he can help us with measuring and pouring our ingredients instead.,1.495685433,1,TRUE
840,1,We get out the apron and stool so he can help us with measuring and pouring.,We get out the apron and stool so it is him.,1.757057652,1,TRUE
840,1,We get out the apron and stool so he can help us with measuring and pouring.,We set up the apron and stool so he can help us with measuring and pouring.,1.487339699,1,TRUE
840,0,We go to restaurants I know our son will sit down and eat.,We go to restaurants I know our toddler will sit down and eat.,1.97498585,0,TRUE
840,0,We go to restaurants I know our son will sit down and eat.,We go to restaurants we know my son will sit down and eat.,2.055723411,1,FALSE
840,0,We go to restaurants I know our son will sit down and eat.,Our son is good at restaurants and he enjoys eating.,2.952434881,4,FALSE
840,0,We go to restaurants I know our son will sit down and eat.,I can put our son into a restaurant.,1.900704205,4,FALSE
840,0,We go to restaurants I know our son will sit down and eat.,We go to restaurants where we know our son will sit down and eat.,1.966048429,1,FALSE
840,0,We go to restaurants I know our son will sit down and eat.,"We go to restaurants where, I know, our son will sit down and eat",2.031617085,0,TRUE
840,0,We go to restaurants I know our son will sit down and eat.,We go to restaurants that welcome families.,1.558643761,0,TRUE
840,0,Small groups,Small groups:,2.180873602,1,FALSE
840,0,Small groups,Small groups can provide a more intimate environment and can provide more information in regards to the individualsÃ¢â‚¬â„¢ personal lives.,1.724568272,0,TRUE
840,0,Small groups,The environment is where the small groups function.,2.04328159,4,FALSE
840,0,Small groups,"In the context of community, there are some strategies that will help small groups to grow and thrive.",2.067718284,0,TRUE
840,0,Small groups,Environment: Small groups,1.707503953,0,TRUE
840,0,Small groups,Small groups: community setting,2.039472132,3,FALSE
840,0,Small groups,"In order to better understand and develop these strategies, it will help to look at them in the context of a community such as the one you live in.",2.430104999,2,FALSE
840,0,We have a really great music teacher that keeps our son engaged in the class.,We have a really good music teacher that keeps our son engaged in the class.,2.534219763,4,FALSE
840,0,We have a really great music teacher that keeps our son engaged in the class.,We have a really great music teacher that keeps my son engaged in the class.,2.213856727,4,FALSE
840,0,We have a really great music teacher that keeps our son engaged in the class.,We have an environment rich with musical talent.,2.701184509,4,FALSE
840,0,We have a really great music teacher that keeps our son engaged in the class.,When we hear the music at home this really great music teacher keeps our son engaged in the class.,2.554558586,4,FALSE
840,0,We have a really great music teacher that keeps our son engaged in the class.,We have a teacher that keeps our son engaged in the class.,2.553758589,4,FALSE
840,0,We have a really great music teacher that keeps our son engaged in the class.,Our son enjoys music lessons.,2.720800071,4,FALSE
840,0,We have a really great music teacher that keeps our son engaged in the class.,We have a really great music teacher that is engaging to our son in the class.,2.567341122,4,FALSE
840,0,We have a really great music teacher that keeps our son engaged in the class.,We have a really good music teacher who keeps our son interested in his music classes.,2.730778419,4,FALSE
840,0,We have a really great music teacher that keeps our son engaged in the class.,I have a really great music teacher that keeps my son engaged.,2.908462276,4,FALSE
840,0,We have a really great music teacher that keeps our son engaged in the class.,We have a really great music teacher that keeps our son engaged.,2.652416476,4,FALSE
840,0,"Our son likes to have time on the computer, so he has time on our Ipad.  ","Our son likes to play games and spend time on the computer, but our IPad has a larger screen and is in his reach.",2.785915267,4,FALSE
840,0,"Our son likes to have time on the computer, so he has time on our Ipad.  ",Our son can have time on the Ipad because it's not a computer.,2.532421439,4,FALSE
840,0,"Our son likes to have time on the computer, so he has time on our Ipad.  ",Our son likes spending time on the computer.,2.684603849,4,FALSE
840,0,"Our son likes to have time on the computer, so he has time on our Ipad.  ","Our son likes to have time on the computer, so he has time on our IPad.",2.592254042,4,FALSE
840,0,"Our son likes to have time on the computer, so he has time on our Ipad.  ","Our son likes to use the computer, so he has time on our Ipad.",2.585242516,4,FALSE
840,0,"Our son likes to have time on the computer, so he has time on our Ipad.  ","Our son likes to have time on the computer, so he has time on our Ipad.",2.592254042,4,FALSE
840,0,"Our son likes to have time on the computer, so he has time on our Ipad.  ","The Computer is too important, so our son has time on our Ipad.",2.990425749,4,FALSE
840,0,"Our son likes to have time on the computer, so he has time on our Ipad.  ",Our boy likes to have time on the Ipad.,2.373277987,4,FALSE
840,0,"Our son likes to have time on the computer, so he has time on our Ipad.  ",We have an IPad that our son would like to have time on.,2.263860193,4,FALSE
840,0,"Our son likes to have time on the computer, so he has time on our Ipad.  ",Our son likes to be digital so he can have time on Ipad.,2.717987508,4,FALSE
840,0,"Our son likes to have time on the computer, so he has time on our Ipad.  ","Our son likes to have time on the computer, so he has time on Ipad.",2.741235155,4,FALSE
840,4,"We had a family vacation this summer where we stayed in a hotel and flew out the next day.  We had lots of energy but we had our favourite movies, snacks and bear with us.","We had a family vacation that lasted five nights and three days. We had our favourite movies, snacks, and bear with us.",1.721458519,4,TRUE
840,4,"We had a family vacation this summer where we stayed in a hotel and flew out the next day.  We had lots of energy but we had our favourite movies, snacks and bear with us.","We had a family vacation this summer where we stayed in a hotel and flew out the next day. We had lots of energy but we had our favourite snacks, movies and bear with us.",1.079659049,4,TRUE
840,4,"We had a family vacation this summer where we stayed in a hotel and flew out the next day.  We had lots of energy but we had our favourite movies, snacks and bear with us.","We had a great vacation as a family this summer. We had lots of energy but we had our favourite movies, snacks and a bear with us.",1.122633384,4,TRUE
840,4,"We had a family vacation this summer where we stayed in a hotel and flew out the next day.  We had lots of energy but we had our favourite movies, snacks and bear with us.","We had a family holiday where the boy and I had to stay in a hotel and we flew out the next day. We had lots of energy but we had our favourite movies, snacks and bear with us.",1.214952293,4,TRUE
840,4,"We had a family vacation this summer where we stayed in a hotel and flew out the next day.  We had lots of energy but we had our favourite movies, snacks and bear with us.","We had a family vacation this summer where we stayed in a hotel and flew out the next day. We had lots of energy but we had our favourite movies, snacks and bear with us.",1.067996253,4,TRUE
840,4,"We had a family vacation this summer where we stayed in a hotel and flew out the next day.  We had lots of energy but we had our favourite movies, snacks and bear with us.","I had a family vacation this summer where we stayed in a hotel and flew out the next day. It was a great idea because we had lots of energy but we had our favourite movies, snacks and bear with us.",0.963590251,4,TRUE
840,4,"We had a family vacation this summer where we stayed in a hotel and flew out the next day.  We had lots of energy but we had our favourite movies, snacks and bear with us.","We had a family vacation this summer where we stayed in a hotel. We had lots of energy but we had our favourite movies, snacks and bear with us.",1.135811304,4,TRUE
840,0,"We sing songs while cleanning up. If he wants to do something else, we say to him ""first we need to clean up our toys, then we can watch a movie"".","We sing songs while cleaning. If he wants to do something else, we say to him ""first we need to clean up our toys, then we can watch a movie.""",2.42116102,1,FALSE
840,0,"We sing songs while cleanning up. If he wants to do something else, we say to him ""first we need to clean up our toys, then we can watch a movie"".","We sing a poem while cleaning up. If he wants to do something else, we say to him, ""first we need to clean up our toys, then we can have a movie night.",2.108721358,3,FALSE
840,0,"We sing songs while cleanning up. If he wants to do something else, we say to him ""first we need to clean up our toys, then we can watch a movie"".","We sing songs while cleaning up, and if he wants to do something else, we say to him ""first we need to clean up our toys, then we can watch a movie"".",2.366602844,1,FALSE
840,0,"We sing songs while cleanning up. If he wants to do something else, we say to him ""first we need to clean up our toys, then we can watch a movie"".","We clean up with our toddler. We say, ""Mom, first we need to clean up our toys. Then, we can do something else.""",2.386459044,1,FALSE
840,0,"We sing songs while cleanning up. If he wants to do something else, we say to him ""first we need to clean up our toys, then we can watch a movie"".","We sing songs while cleaning up. If he wants to do something else, we say to him ""first we need to clean up our toys, then we can watch a movie"".",2.254848563,1,FALSE
840,0,"We sing songs while cleanning up. If he wants to do something else, we say to him ""first we need to clean up our toys, then we can watch a movie"".","We sing songs while cleaning up. If he wants to do something else, we tell him ""first we need to clean up our toys, then we can watch a movie"".",2.356095821,1,FALSE
840,0,"We sing songs while cleanning up. If he wants to do something else, we say to him ""first we need to clean up our toys, then we can watch a movie"".","We sing songs while talking a lot. If he wants to do something else, we tell him ""first we need to clean up our toys and then we can watch TV.""",2.501110752,1,FALSE
840,0,"We sing songs while cleanning up. If he wants to do something else, we say to him ""first we need to clean up our toys, then we can watch a movie"".",I tell my son he needs to clean up before he can do something else.,2.539040609,1,FALSE
840,0,We bought some fun kids soap for the bathroom so he will want his hands more often.,"We bought some fun kids hand soap for the bathroom, so he will want to wash his hands more often.",2.509098702,4,FALSE
840,0,We bought some fun kids soap for the bathroom so he will want his hands more often.,"We installed some fun kids soap in the bathroom, so he will want to wash his hands more often.",2.510099256,4,FALSE
840,0,We bought some fun kids soap for the bathroom so he will want his hands more often.,We bought some fun Kids soap for the bathroom so he will want his hands more often,2.245180783,4,FALSE
840,0,We bought some fun kids soap for the bathroom so he will want his hands more often.,We bought some fun kids soap for the bathroom so he will want to wash his hands more often.,2.353841576,4,FALSE
840,0,We bought some fun kids soap for the bathroom so he will want his hands more often.,We bought some funny soap for the bathroom so he will want his hands more.,2.257807359,4,FALSE
840,0,We bought some fun kids soap for the bathroom so he will want his hands more often.,We bought some bubble soap in the bathroom so he will want his hands more often.,2.381111797,4,FALSE
840,0,We bought some fun kids soap for the bathroom so he will want his hands more often.,The bathroom is a fun place for us. We bought some kid friendly soap for the bathroom to attract him more often.,2.261827318,4,FALSE
840,0,"We bring some of his favourite things to play on in group settings such as a party.  For example, his DS or our Ipad for games.  It keeps him settled and focused.","We bring some of his favourite things to play on in group settings such as a party. For example, his DS or our Ipad for games. It keeps him settled and focused.",1.862475964,0,TRUE
840,0,"We bring some of his favourite things to play on in group settings such as a party.  For example, his DS or our Ipad for games.  It keeps him settled and focused.","We bring some of their favourite things to play on in group settings such as a party. For example, his DS or our Ipad for games. This keeps him settled and focused.",1.91830739,0,TRUE
840,0,"We bring some of his favourite things to play on in group settings such as a party.  For example, his DS or our Ipad for games.  It keeps him settled and focused.","We bring some of his favourite things to play on in group settings. For example, his DS or our Ipad for games. It keeps him settled and focused.",2.033652713,1,FALSE
840,0,"We bring some of his favourite things to play on in group settings such as a party.  For example, his DS or our Ipad for games.  It keeps him settled and focused.","We bring some of his favourite things to play on in group settings such as parties. For example, his DS or our Ipad for games. It holds him settled and focused.",1.934575812,1,FALSE
840,0,"We bring some of his favourite things to play on in group settings such as a party.  For example, his DS or our Ipad for games.  It keeps him settled and focused.","We bring some of his favorite things to play on in group settings such as a party. For example, his DS or our Ipad for games. It keeps him settled and focused.",1.651157325,0,TRUE
840,0,We have a mini trampoline that helps all the kids burn off some energy.,The kids all play on the trampoline and burn off some energy.,1.872032592,0,TRUE
840,0,We have a mini trampoline that helps all the kids burn off some energy.,We have a trampoline that the kids have to burn off some energy.,2.3429615,4,FALSE
840,0,We have a mini trampoline that helps all the kids burn off some energy.,We have a mini trampoline that helped all the kids burn off some energy.,1.815662923,4,FALSE
840,0,We have a mini trampoline that helps all the kids burn off some energy.,We have a mini trampoline that the kids use to burn some energy.,2.044283764,4,FALSE
840,0,We have a mini trampoline that helps all the kids burn off some energy.,We have a mini trampoline that helps all the kids burn off some energy while we are watching the soccer match.,1.908736699,4,FALSE
840,0,We have a mini trampoline that helps all the kids burn off some energy.,We have a mini trampoline which helps all the kids burn off some energy.,1.725246355,4,FALSE
840,0,We avoid busy crowded events that would be too much for our son.,"We avoid busy, crowded events that would be too much for the dog.",2.007716134,1,FALSE
840,0,We avoid busy crowded events that would be too much for our son.,We avoid busy crowded places that would be too much for our son.,1.930396831,4,FALSE
840,0,We avoid busy crowded events that would be too much for our son.,"We avoid noisy, busy events that would be too much for our son.",2.152904411,4,FALSE
840,0,We avoid busy crowded events that would be too much for our son.,We avoid busy crowded activities because they would be too much for our son.,2.306437964,4,FALSE
840,0,We avoid busy crowded events that would be too much for our son.,We avoid busy crowded parks that would be too much for our son.,1.723833556,0,TRUE
840,0,We avoid busy crowded events that would be too much for our son.,We are very cautious about crowds.,2.883306875,4,FALSE
840,0,We avoid busy crowded events that would be too much for our son.,We avoid crowded events that may be too much for our son.,2.20321474,4,FALSE
840,0,We try not to over stimulate him with too many people which can creat too much excitement for him.,We try not to over stimulate him with too many people or too many loud people which can create too much excitement for him.,2.329994101,4,FALSE
840,0,We try not to over stimulate him with too many people which can creat too much excitement for him.,We try not to over stimulate him with too many people which can create too much excitement for him.,2.348688548,4,FALSE
840,0,We try not to over stimulate him with too many people which can creat too much excitement for him.,We try not to over stimulate him with too many people.,2.358960469,1,FALSE
840,0,We try not to over stimulate him with too many people which can creat too much excitement for him.,We try to avoid he over stimulates with too many people. This can creat too much excitement for him.,2.712553501,4,FALSE
840,0,We try not to over stimulate him with too many people which can creat too much excitement for him.,We try not to keep him too busy with too many people which can create too much excitement for him.,2.437259847,4,FALSE
840,0,We try not to over stimulate him with too many people which can creat too much excitement for him.,He will be better stimulated if he has few people in his group.,3.211189683,4,FALSE
840,0,"We give our son jobs, and one is to help his siblings.  Also, we are getting him to put away his clean clothes and it helps that he has an older brother to help.","We give our son jobs, and one is to help his siblings. It is helpful that he has an older brother to help him.",2.931216967,4,FALSE
840,0,"We give our son jobs, and one is to help his siblings.  Also, we are getting him to put away his clean clothes and it helps that he has an older brother to help.",We make our kids learn to put away their clean clothes and also to get help from older siblings.,2.389389414,1,FALSE
840,0,"We give our son jobs, and one is to help his siblings.  Also, we are getting him to put away his clean clothes and it helps that he has an older brother to help.","We give our son a job, and one of the jobs is to help his siblings. Also, we are getting him to put away his clean clothes and it helps that he has an older brother to help.",2.562864763,4,FALSE
840,0,"We give our son jobs, and one is to help his siblings.  Also, we are getting him to put away his clean clothes and it helps that he has an older brother to help.",We are getting our boy to put away his clean clothes and it helps that he has an older brother to help.,2.577238278,4,FALSE
840,0,"We give our son jobs, and one is to help his siblings.  Also, we are getting him to put away his clean clothes and it helps that he has an older brother to help.",We have a five year old son and he hates to do his homework. When he puts his dirty clothes away he wants his mom to take it away and make him clean them up. We are working with him to get his brother to help him.,2.975628462,4,FALSE
