,Unnamed: 0,ID,Entries,Forum,Forum size (# of posts),Age of Child,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,label,strategy
0,0,2099,"He does [walking along walls and staring at the wall] also with counter tops, or other lined areas that are his head height. He usually does it mostly if he is tired or stressed or there is too much sensory stimulation going on around him. ",Mothering (https://www.mothering.com/forums/special-needs-parenting.157/),150.9k,3,,,,,,,,,,,,,,,,,,,,,,,4,"He does [walking along walls and staring at the wall] also with counter tops, or other lined areas that are his head height. He usually does it mostly if he is tired or stressed or there is too much sensory stimulation going on around him. "
1,1,3000,"So I have that opinion, that I shouldn't put him back in pullups or diapers. But I am tired of wet pants. Really tired of buckling him into his carseat and feeling wet pants against my hands.",Mothering (https://www.mothering.com/forums/special-needs-parenting.157/),150.9k,4,,,,,,,,,,,,,,,,,,,,,,,4,"So I have that opinion, that I shouldn't put him back in pullups or diapers. But I am tired of wet pants. Really tired of buckling him into his carseat and feeling wet pants against my hands."
2,2,3001,"The doc was talking about splitting a .25 mg tablet twice a day. He's decided to refer us to a child Psychiatrist though, so the drug and dosage could end up different.",Mothering (https://www.mothering.com/forums/special-needs-parenting.157/),150.9k,4,,,,,,,,,,,,,,,,,,,,,,,4,"The doc was talking about splitting a .25 mg tablet twice a day. He's decided to refer us to a child Psychiatrist though, so the drug and dosage could end up different."
3,3,3002," I'm a SAHM, she's an only. She plays very little on her own, with hardly any imaginary play.",DC Urban Moms and Dads (https://www.dcurbanmom.com/jforum/forums/show/36.page),30.3k,4,,,,,,,,,,,,,,,,,,,,,,,4,"I'm a SAHM, she's an only. She plays very little on her own, with hardly any imaginary play."
4,4,3003,"I don’t think [ABA therapy is] appropriate for all kids - it IS work for the kid and it’s probably too much for a kid who is just a little “quirky” but can otherwise be mainstreamed at school with some supports, for example.",DC Urban Moms and Dads (https://www.dcurbanmom.com/jforum/forums/show/36.page),30.3k,3,,,,,,,,,,,,,,,,,,,,,,,4,"I dont think [ABA therapy is] appropriate for all kids - it IS work for the kid and its probably too much for a kid who is just a little quirky but can otherwise be mainstreamed at school with some supports, for example."
5,5,3004,"Fast forward to now, he’s 21 months and has weakness/tightness on his left side and has been pretty delayed meeting some gross motor milestones (eg walking).",DC Urban Moms and Dads (https://www.dcurbanmom.com/jforum/forums/show/36.page),30.3k,21 m,,,,,,,,,,,,,,,,,,,,,,,4,"Fast forward to now, hes 21 months and has weakness/tightness on his left side and has been pretty delayed meeting some gross motor milestones (eg walking)."
6,6,3005,I saw on the website that on Victoria street in st.albans they do sign language for babies and toddlers.,Netmums (https://www.netmums.com/coffeehouse/special-needs-and-disabilities/children-disabilities-1031/),90,19 m,,,,,,,,,,,,,,,,,,,,,,,4,I saw on the website that on Victoria street in st.albans they do sign language for babies and toddlers.
7,7,3006,She is under ped doctor and salt team. However her behaviour and needs are getting worse she has degreased. since first and only visit with doctor.,Netmums (https://www.netmums.com/coffeehouse/special-needs-and-disabilities/children-disabilities-1031/),90,2,,,,,,,,,,,,,,,,,,,,,,,4,She is under ped doctor and salt team. However her behaviour and needs are getting worse she has degreased. since first and only visit with doctor.
8,8,3007,He was diagnosed with ASD earlier this year and we have just had an ABA behavioural assessment done with the consultant but are struggling to find a tutor to implement the strategies.,Netmums (https://www.netmums.com/coffeehouse/special-needs-and-disabilities/children-disabilities-1031/),90,4,,,,,,,,,,,,,,,,,,,,,,,4,He was diagnosed with ASD earlier this year and we have just had an ABA behavioural assessment done with the consultant but are struggling to find a tutor to implement the strategies.
9,9,3008,He is very active physically like running. walking and claiming on table chairs.,PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,2,,,,,,,,,,,,,,,,,,,,,,,4,He is very active physically like running. walking and claiming on table chairs.
10,10,3008,He doesn't say bye or handshake or good morning.,PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,2,,,,,,,,,,,,,,,,,,,,,,,4,He doesn't say bye or handshake or good morning.
11,11,3008,He doesn't gives eye contact while talking with him.,PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,2,,,,,,,,,,,,,,,,,,,,,,,4,He doesn't gives eye contact while talking with him.
12,12,3008,"He says just one or two words like 'tha' 'kha' 'maa' , but he doesn't try to say other word since 6 months.",PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,2,,,,,,,,,,,,,,,,,,,,,,,4,"He says just one or two words like 'tha' 'kha' 'maa' , but he doesn't try to say other word since 6 months."
13,13,3009,He has been pulled from daycare due to the amount of times he was getting sick.,PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,2,,,,,,,,,,,,,,,,,,,,,,,4,He has been pulled from daycare due to the amount of times he was getting sick.
14,14,3009,He has had a CBC and everything on that looked completely normal by all of the specialists,PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,2,,,,,,,,,,,,,,,,,,,,,,,4,He has had a CBC and everything on that looked completely normal by all of the specialists
15,15,3009,We are at a loss of what else to check and aren't exactly comfortable with the specialists saying that this may just be normal for him.,PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,2,,,,,,,,,,,,,,,,,,,,,,,4,We are at a loss of what else to check and aren't exactly comfortable with the specialists saying that this may just be normal for him.
16,16,3009,My son has had recurrent fevers for a month now.,PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,2,,,,,,,,,,,,,,,,,,,,,,,4,My son has had recurrent fevers for a month now.
17,17,3010,hes just said now his other ear is really hurting too,PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,4,,,,,,,,,,,,,,,,,,,,,,,4,hes just said now his other ear is really hurting too
18,18,3010,He had two courses of oral Amoxicillin back in May without anyone looking at his ear,PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,4,,,,,,,,,,,,,,,,,,,,,,,4,He had two courses of oral Amoxicillin back in May without anyone looking at his ear
19,19,3010,theres no way of knowing if they are needed but i can only go off how he is.,PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,4,,,,,,,,,,,,,,,,,,,,,,,4,theres no way of knowing if they are needed but i can only go off how he is.
20,20,3010,My 4.5 year old has been poorly this week with a cold and thismorning he saw the doctors,PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,4,,,,,,,,,,,,,,,,,,,,,,,4,My 4.5 year old has been poorly this week with a cold and thismorning he saw the doctors
21,21,3011,Found that he has Pectus carinatum when he is 1 year old.,PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,1,,,,,,,,,,,,,,,,,,,,,,,4,Found that he has Pectus carinatum when he is 1 year old.
22,22,3011,I couldnt find much information on babies having this condition.,PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,1,,,,,,,,,,,,,,,,,,,,,,,4,I couldnt find much information on babies having this condition.
23,23,3011,"Pediatrician had done chest x-ray, and vitamin - D test.",PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,1,,,,,,,,,,,,,,,,,,,,,,,4,"Pediatrician had done chest x-ray, and vitamin - D test."
24,24,3011,"Sometimes, he is coughing while taking food/water.",PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,1,,,,,,,,,,,,,,,,,,,,,,,4,"Sometimes, he is coughing while taking food/water."
25,25,3012,"I have a four year old son, he is generally healthy and active, social, full-time TK student.",PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,4,,,,,,,,,,,,,,,,,,,,,,,4,"I have a four year old son, he is generally healthy and active, social, full-time TK student."
26,26,3012,"He developed a taste for bacon about a year ago, and is going through a picky stage of eating.",PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,4,,,,,,,,,,,,,,,,,,,,,,,4,"He developed a taste for bacon about a year ago, and is going through a picky stage of eating."
27,27,3012,"I am concerned that this may be unhealthy for him, and would like to raise concerns with his mother",PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,4,,,,,,,,,,,,,,,,,,,,,,,4,"I am concerned that this may be unhealthy for him, and would like to raise concerns with his mother"
28,28,3012,"He will have it on average 3-5 times per week, and will eat about 1/4 to 1/2 of a pound when he has it.",PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,4,,,,,,,,,,,,,,,,,,,,,,,4,"He will have it on average 3-5 times per week, and will eat about 1/4 to 1/2 of a pound when he has it."
29,29,3013,"In the past month or so, my 4-and-a-half-months boy has really been struggling to nurse.",PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,4,,,,,,,,,,,,,,,,,,,,,,,4,"In the past month or so, my 4-and-a-half-months boy has really been struggling to nurse."
30,30,3013,"He sometimes also stretches out completely (like a plank), or brings his knees in towards his tummy",PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,4,,,,,,,,,,,,,,,,,,,,,,,4,"He sometimes also stretches out completely (like a plank), or brings his knees in towards his tummy"
31,31,3013,"Also, he has wet diapers regularly, though less than before.",PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,4,,,,,,,,,,,,,,,,,,,,,,,4,"Also, he has wet diapers regularly, though less than before."
32,32,3013,"All of this wouldn’t worry me had it not been for all the moaning, and the reduced weight-gain.",PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,4,,,,,,,,,,,,,,,,,,,,,,,4,"All of this wouldnt worry me had it not been for all the moaning, and the reduced weight-gain."
33,33,3013,I wonder if he'd be more accepting of formula milk instead of (or in addition to) my breastmilk.,PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,4,,,,,,,,,,,,,,,,,,,,,,,4,I wonder if he'd be more accepting of formula milk instead of (or in addition to) my breastmilk.
34,34,3013,It occurred to me these struggles might be a sign he is actually ready to have solids gradually introduced,PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,4,,,,,,,,,,,,,,,,,,,,,,,4,It occurred to me these struggles might be a sign he is actually ready to have solids gradually introduced
35,35,3013,I worry weaning him so early will make his situation worse.,PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,4,,,,,,,,,,,,,,,,,,,,,,,4,I worry weaning him so early will make his situation worse.
36,36,3014,My daughter is now 6 years old and we noticed a small bump on her tongue a year ago,PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,6,,,,,,,,,,,,,,,,,,,,,,,4,My daughter is now 6 years old and we noticed a small bump on her tongue a year ago
37,37,3014,Her pediatrician said it should go away and nothing to worry about.,PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,6,,,,,,,,,,,,,,,,,,,,,,,4,Her pediatrician said it should go away and nothing to worry about.
38,38,3014,the bump grew slowly and got to the size in the picture. No irritation. No pain.,PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,6,,,,,,,,,,,,,,,,,,,,,,,4,the bump grew slowly and got to the size in the picture. No irritation. No pain.
39,39,3014,I tried to feel it with my hand and I can sense that it has some depth,PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,6,,,,,,,,,,,,,,,,,,,,,,,4,I tried to feel it with my hand and I can sense that it has some depth
40,40,3015,Son (2.5 years old) admitted for further tests due to high ALP levels.,PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,2,,,,,,,,,,,,,,,,,,,,,,,4,Son (2.5 years old) admitted for further tests due to high ALP levels.
41,41,3015,"Yesterday, went for an Ultrasound and they checked the liver.",PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,2,,,,,,,,,,,,,,,,,,,,,,,4,"Yesterday, went for an Ultrasound and they checked the liver."
42,42,3015, concerning due to age and that the child is of average weight,PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,2,,,,,,,,,,,,,,,,,,,,,,,4, concerning due to age and that the child is of average weight
43,43,3015,Told her has a 'bright liver' that he would expect to see in an 'overweight adult',PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,2,,,,,,,,,,,,,,,,,,,,,,,4,Told her has a 'bright liver' that he would expect to see in an 'overweight adult'
44,44,3016,My daughter has had a rash on lips and around mouth for more than 2 weeks,PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,4,,,,,,,,,,,,,,,,,,,,,,,4,My daughter has had a rash on lips and around mouth for more than 2 weeks
45,45,3016,She has no itchy Ness or pain and dosnt complain about it at all,PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,4,,,,,,,,,,,,,,,,,,,,,,,4,She has no itchy Ness or pain and dosnt complain about it at all
46,46,3017,My two year old daughter drools quite badly and this is concerning me despite it probably be down to teething,PatientInfo (https://patient.info/forums/discuss/browse/child-health-544),230,2,,,,,,,,,,,,,,,,,,,,,,,4,My two year old daughter drools quite badly and this is concerning me despite it probably be down to teething
