,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Dataset,ID,strategy,broad activity ,setting ,label,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
0,0,339,560,560,790,WC Baseline ,02-067,"Getting clean - we gie her a clothe to wash her body in tub and after meals, although she has difficulty with movement due to cerebral palsy",basic care routine,home,0.0,,,,,,,,,,,,,,,,,,,,
1,1,538,902,902,1223,WC 3m,02-067,Physio/occupation therapy once a week to build skills to help with movement of her limbs,play,home,3.0,,,,,,,,,,,,,,,,,,,,
2,2,802,1359,1359,1683,WC 6m,02-067,We arrange playdates outside of house with peers and family,social ,home,0.0,,,,,,,,,,,,,,,,,,,,
3,3,508,729,729,959,WC 3m,02-067,"More ""chair time"" to work on hand-ee coordination to help with seated activities",play,home,3.0,,,,,,,,,,,,,,,,,,,,
4,4,534,898,898,1219,WC 3m,02-067,"Participate in activities with her, sometimes hand-over-hand doing the task",home,home,0.0,,,,,,,,,,,,,,,,,,,,
5,5,347,568,568,798,WC Baseline ,02-067,Provide her with toys and equipment to optimize her opportunity to use muscles effected by cerebral palsy,home,home,0.0,,,,,,,,,,,,,,,,,,,,
6,6,340,561,561,791,WC Baseline ,02-067,"Give her clean laundry to ""shake"" while I fold it",chore,home,1.0,,,,,,,,,,,,,,,,,,,,
7,7,800,1357,1357,1681,WC 6m,02-067,Role model/hand over hand during difficult activities,home,home,0.0,,,,,,,,,,,,,,,,,,,,
8,8,531,895,895,1216,WC 3m,02-067,OT/PT once a week as well as daily at home working on the activities,home,home,0.0,,,,,,,,,,,,,,,,,,,,
9,9,556,920,920,1241,WC 3m,02-067,Rest - I would like her to be able to calm & fall asleep on her own - right now someone needs to lay with her to fall asleep,basic care routine ,home,4.0,,,,,,,,,,,,,,,,,,,,
10,10,345,566,566,796,WC Baseline ,02-067,"Personal care - we talk her through diaper changes, getting dressed and rushing teeth and hair, she will attempt tooth and hair brushing and will unfasten left side of diaper when asked (right side more affected by CP)",basic care routine,home,0.0,,,,,,,,,,,,,,,,,,,,
11,11,801,1358,1358,1682,WC 6m,02-067,Trying to put her to nap alone (this would be more helpful during rest time as she requires someone to lay with her at the moment),basic care routine,home,0.0,,,,,,,,,,,,,,,,,,,,
12,12,796,1353,1353,1677,WC 6m,02-067,go to holiday gatherings at family members house,social ,home,0.0,,,,,,,,,,,,,,,,,,,,
13,13,563,927,927,1248,WC 3m,02-067,She has been wanting to throw away diapers after diaper change,chore,home,4.0,,,,,,,,,,,,,,,,,,,,
14,14,536,900,900,1221,WC 3m,02-067,Personal care - I would like her to hold own tooth brush/hair brush to help self-groom. We provide her with two opportunities to do this daily,basic care routine ,home,0.0,,,,,,,,,,,,,,,,,,,,
15,15,346,567,567,797,WC Baseline ,02-067,Provide her with a walker/stander,home,home,0.0,,,,,,,,,,,,,,,,,,,,
16,16,343,564,564,794,WC Baseline ,02-067,Just started allowing TV time 2 weeks ago but she enjoys looking at pictures of herself on smart phones and will use her pointer finger to swipe to next picture,play,home,0.0,,,,,,,,,,,,,,,,,,,,
17,17,342,563,563,793,WC Baseline ,02-067,Include her in meals and social gatherings even though she does not eat like rest of family,home,home,1.0,,,,,,,,,,,,,,,,,,,,
18,18,795,1352,1352,1676,WC 6m,02-067,Doing hand over hand with hygene type activities (brushing teeth and hair,basic care routine,home,3.0,,,,,,,,,,,,,,,,,,,,
19,19,504,725,725,955,WC 3m,02-067,Mealtime - Provide her with 3 opportunities a day to sit in hightchair & practice fine moto skills with meal time.,basic care routine ,home,0.0,,,,,,,,,,,,,,,,,,,,
20,20,797,1354,1354,1678,WC 6m,02-067,Have her therapeutic equipment available and utilize them,home,home,0.0,,,,,,,,,,,,,,,,,,,,
21,21,799,1356,1356,1680,WC 6m,02-067,Provide opportunities to help with household chorse based on her physical skill snad limitations due to her cerebral palsy,chore,home,0.0,,,,,,,,,,,,,,,,,,,,
22,22,549,913,913,1234,WC 3m,02-067,Put her in her seated chair & walker to build strength for movement,home,home,0.0,,,,,,,,,,,,,,,,,,,,
23,23,794,1351,1351,1675,WC 6m,02-067,Allowing opportunities each day for personal care and toileting,basic care routine,home,0.0,,,,,,,,,,,,,,,,,,,,
24,24,350,571,571,801,WC Baseline ,02-067,We have family day with her 2 cousins every other Sunday at her father's parents house.,social,home,0.0,,,,,,,,,,,,,,,,,,,,
25,25,349,570,570,800,WC Baseline ,02-067,Talk her through me tidying toys or any other clean up so she knows and recognizes what I'm doing and what to expect next,chore,home,0.0,,,,,,,,,,,,,,,,,,,,
26,26,344,565,565,795,WC Baseline ,02-067,"Mealtime - she is provided with 3 opportunities per day to sit in high chair with puree on tray, she will touch and attempt to feed though maority of nutrients are provided b G-J feeding tube.",basic care routine,home,0.0,,,,,,,,,,,,,,,,,,,,
27,27,341,562,562,792,WC Baseline ,02-067,Give her cloth to wipe her high chair tray after meal time.,chore,home,1.0,,,,,,,,,,,,,,,,,,,,
28,28,338,559,559,789,WC Baseline ,02-067,"Bring her to physiotherapy and occupational therap once a week to improve her hand-eye coordination and muscle control by doing puzzles, block and other toys with buttons to press",play,home,0.0,,,,,,,,,,,,,,,,,,,,
29,29,607,971,971,1292,WC 3m,02-067,"We have been practiving ""IN"" & ""OUT"" and ask her to put toy ""in"" bucket to clean up",chore,home,3.0,,,,,,,,,,,,,,,,,,,,
30,30,348,569,569,799,WC Baseline ,02-067,Read to her almost daily and talk about what picutres are in books,play,home,0.0,,,,,,,,,,,,,,,,,,,,
31,31,798,1355,1355,1679,WC 6m,02-067,Provide opportunities daily,home,home,0.0,,,,,,,,,,,,,,,,,,,,
32,32,3134,3691,3941,4265,SNF Supp.,990,During meals provide a varied of favorite foods with addition of new foods,basic care routine,home,2.0,,,,,,,,,,,,,,,,,,,,
33,33,3154,3711,3961,4285,SNF Supp.,990,Taking him to events that child is interested in,community,community,2.0,,,,,,,,,,,,,,,,,,,,
34,34,3141,3698,3948,4272,SNF Supp.,990,"Helping a child to participate in cleaning up, meal preparation, taking care of pets and household chores",chore,home,3.0,,,,,,,,,,,,,,,,,,,,
35,35,3143,3700,3950,4274,SNF Supp.,990,Make it look like more like a game than a chore. Rewarding for being involved and helpful,chore,home,2.0,,,,,,,,,,,,,,,,,,,,
36,36,3149,3706,3956,4280,SNF Supp.,990,Providing a wide variety of toys and snacks during shopping and errands,outing ,community,0.0,,,,,,,,,,,,,,,,,,,,
37,37,3133,3690,3940,4264,SNF Supp.,990,"Creating a routine that is familiar to a child but make it more interesting, fun, exciting and more like a game than a chore",basic care routine,home,2.0,,,,,,,,,,,,,,,,,,,,
38,38,3150,3707,3957,4281,SNF Supp.,990,Providing reassurance and a variety of entertainment. Making child feel safe during dr visits,outing ,community,1.0,,,,,,,,,,,,,,,,,,,,
39,39,3147,3704,3954,4278,SNF Supp.,990,"Playing games with a child , trying to involve other family members",home,home,0.0,,,,,,,,,,,,,,,,,,,,
40,40,3138,3695,3945,4269,SNF Supp.,990,Having other kids participate and asking a child to copy them,educational,daycare/preschool,0.0,,,,,,,,,,,,,,,,,,,,
41,41,3135,3692,3942,4266,SNF Supp.,990,"For parents to have more time to participate in community activities, gatherings and events. Taking a child to all those more often",community sponsored,community,0.0,,,,,,,,,,,,,,,,,,,,
42,42,3132,3689,3939,4263,SNF Supp.,990,"Creating a pleasant and fun environment by having his favorite toys, books, games.",home,home,2.0,,,,,,,,,,,,,,,,,,,,
43,43,3131,3688,3938,4262,SNF Supp.,990,"Choosing a right time of the day for dining out, hair cuts, errands. Not when a child is sick, tired, moody or hungry",outing ,community,0.0,,,,,,,,,,,,,,,,,,,,
44,44,3146,3703,3953,4277,SNF Supp.,990,Making it fun and interesting. ,recreational,community,2.0,,,,,,,,,,,,,,,,,,,,
45,45,3140,3697,3947,4271,SNF Supp.,990,Having other kids to participate in the same activities and making a child follow them. Making it interesting,daycare/preschool,daycare/preschool,0.0,,,,,,,,,,,,,,,,,,,,
46,46,3139,3696,3946,4270,SNF Supp.,990,Having other kids participate in the same activities and be a model for expected behavior and actions. ,basic care routine,home,0.0,,,,,,,,,,,,,,,,,,,,
47,47,3137,3694,3944,4268,SNF Supp.,990,"Having more time, money and choices available in a community",group,community,0.0,,,,,,,,,,,,,,,,,,,,
48,48,3142,3699,3949,4273,SNF Supp.,990,"Hiving a child to participate in group activities, family gathering. Trying to create those as often as possible",socializing,home,0.0,,,,,,,,,,,,,,,,,,,,
49,49,3152,3709,3959,4283,SNF Supp.,990,Same as above. Keeping it fun and interesting. Familiar but still coming up with new activities.,educational,daycare/preschool,2.0,,,,,,,,,,,,,,,,,,,,
50,50,3151,3708,3958,4282,SNF Supp.,990,Providing with a wide variety of familiar and new toys during travel,recreational,community,0.0,,,,,,,,,,,,,,,,,,,,
51,51,3148,3705,3955,4279,SNF Supp.,990,"Providing a vide selection of colorful books, coloring supplies, supplies for an art projects. Making it interesting",play,home,0.0,,,,,,,,,,,,,,,,,,,,
52,52,3136,3693,3943,4267,SNF Supp.,990,having more money to spare for community activity,community sponsored,community,0.0,,,,,,,,,,,,,,,,,,,,
