,Unnamed: 0,strategy,label
940,940,Sign him up for more age appropriate groups,0
2202,2202,I would like her to participate in more activities that can challenge her learning.,4
791,791,"letting him know well in advance what to expect of the outing, in clear, simple language ('social story')",0
367,367,Let [name] play outside more often and explore outdoors,0
2594,2594,"I am hoping that at around 13, ",4
2491,2491,with things like talking ,4
1983,1983,Using repetition... the same task over and over again,3
2468,2468,3 weeks ago with pneumonia ,4
1140,1140,We relate directly with him to engage him in activities.,0
1135,1135,Accepting invitations to peers social gatherings. It can be difficult with busy schedules.  ,0
2829,2829,but he seems to struggle with saying it. ,4
2315,2315,"he loves to have a job to do, however he wants to continuously repeat this, he gets frustrated when he is done with the job",4
2770,2770,and whether they feel they need to assess her.  ,4
2613,2613,she can fall over and bang her head for example ,4
1432,1432,Encourage continued participation,1
1325,1325,Planned activities,0
2559,2559,Is your family bilingual by any chance. ,4
1853,1853,"When time to get dressed we expect him to help ie: we put the shirt over his head, he puts his arms through the sleeves",2
447,447,Do them outside is the best strategy (away from other distractions),0
1109,1109,One-on-one play time with Mom&Dad (lots),0
3027,3027,How have you failed him?  ,4
1714,1714,Screen time is a reward for good behavior,2
2132,2132,Early intervention with OT,4
2922,2922,Today I'm 1 year and 6 months sober.,4
930,930,simple instructions,0
1781,1781,"I try to focus on part of the task that my child enjoys rather than the entire thing. For example, my child enjoys identifying which clothing items belong to which family member.",2
1833,1833,Screen time: I have been trying to have [name] do painting ot coloring during quiet time instead of watching tv.,2
2821,2821, I don't know how to handle this or fix it.,4
279,279,Having materials at her reach so she can easily draw or play music.,0
2587,2587,not necessarily physical but constant bits and pieces. ,4
2994,2994,"The problem is of course, the cost! ",4
1156,1156,keeping the length of event short so she doesn't fatigue,0
835,835,"Showing him activities he can do like paint, play hockey in the basement",0
531,531,discuss events,0
2204,2204,"As she gets older and gets more friends or more involved in activities, this will come with time.",4
2379,2379,chances are she would wait ,4
186,186,Make conversation short and simple.,0
1100,1100,Ask nanny to take him to play classes in the neighborhood.,0
1368,1368,Playing together as a family.,0
757,757,More consistently using toilet,0
1126,1126,"We bring some of his favourite things to play on in group settings such as a party.  For example, his DS or our Ipad for games.  It keeps him settled and focused.",0
154,154,"We are very active with the March of Dimes, United Blood Services, and a non-profit called Kids With Autism Can.  These organizations have provided us with opportunities to get out as a family.  Some of these activities include: Disney On Ice, Zoo, movies, professional baseball/basketball games, ice skating, horseback riding, Legoland, swimming, indoor rock climbing, Pump It Up, etc.  Because of these somewhat structured and controlled environment opportunities, we have been able to get out more as a family in a safe environment with those who get it.",0
1194,1194,I try not to allow his siblings to control him too much,0
2032,2032,Learn to walk and crawl on quadruped.,3
1679,1679,"Encouraging her to use her words and ""helping hands"" ",1
1185,1185,Mostly sing a clean up song and show her how to pick things and where to put to them.,0
2216,2216,Eat more at mealtime,4
717,717,I had to go back to work full time to afford many of the extra costs of a special needs child so he can continue to participate in activities and provide stimulating materials for him to play and learn.,0
467,467,Attend more library story times. ,0
2346,2346,he has an infection each time!!. ,4
743,743,She and I read books together. She has an active imagination so we also play toys and acting out of the toys (role playing),0
372,372,"Understanding the routine, consistency of the routine.",0
122,122,A lot of interaction,0
2589,2589, I also noticed that his tonsils are huge! ,4
2659,2659,Dr wants to put on Lupron injections.,4
2447,2447,74 lbs for 7.7 yr old. ,4
1760,1760," he gets a lot of choices and gets to feel in control, which helps",2
1003,1003,Maybe set a timer to help clean up toys,0
425,425,Safety chair so he can sit up on his own,0
1946,1946,reward/punishment,2
1662,1662,Encourage him during the activity.,1
2385,2385,(her normal was one) ,4
1423,1423,Choosing the books to read prior to nap and bedtime.,1
1133,1133,Take him to more events ,0
1982,1982,Lots of practise,3
1566,1566,I would love for her to do more of the social things with the other kids.  She will do some things when encouraged and cheered on. ,1
1545,1545,Ensuring she is well rested and red prior to heading out into community.,1
2386,2386,My daughter is only 6 and a half.,4
898,898,Demonstrating the desired behavior,0
1009,1009,talk about the appointment and what to expect,0
909,909,watching others first,0
1467,1467,Sometimes at mealtimes we get out an apron and stool so he can help us cook dinner etc.,1
1675,1675,allowing her to prepare the meal,1
27,27,Being able to go there.  He loves people!!! ,0
2260,2260,Develop better pincer grasp,4
1458,1458,Be more independent by trying to get dressed. Encouraged him to put on one sock and I'll put on the other (same with shoes),1
2207,2207,"Hiking is great, he knows to stay on the path.",4
1517,1517,My best strategy to participate successful basic care routines are I observe my child interest and I am motivating to my child to doing any activities  with me. example cleaning teeth.,1
2968,2968,The reason why these days ,4
213,213,Utilizing local resources and all of the fantastic kids events in our metro area ,0
30,30,Trying to put her to nap alone (this would be more helpful during rest time as she requires someone to lay with her at the moment),0
687,687,"We bake something together weekly, such as a cake. I let him crack eggs and measure ingredients",0
1275,1275,peer modeling,0
2077,2077,I would like my child to participate more while performing toilet hygiene. I will hand her toilet paper and assist her to shift her weight to facilitate her performing toilet hygiene.,3
1686,1686,"help decide what to have for dinner, help plan meals.",1
2751,2751,starts to copy him ,4
2008,2008,Recruit her brother to help,3
684,684,Give more time to help with meals,0
1483,1483,Find ways that she can help and be actively involved instead of just watching,1
168,168,Attend cousin's baseball games.,0
288,288,We do art activities at home. He doesn't often want to do them in a structured way so doing it at home gives us the time to work with him on how to do a project correctly.,0
2437,2437,for the past 18 months ,4
2784,2784,holds it together in school (usually) ,4
200,200,We reduce our expectation of the duration of his involvement.,0
2755,2755,im running out of things i can do,4
2429,2429,It was a years-long journey to get here...,4
918,918,Finding space for him to run.,0
1724,1724,We let her do what she wants and encourage her to try new activities if she wants to,2
992,992,"continue to explain the process of what I'm doing, while I'm doing it.",0
565,565,Picture chart,0
2849,2849,But he does not see my love for him.,4
1885,1885,"Creating a routine that is familiar to a child but make it more interesting, fun, exciting and more like a game than a chore",2
379,379,Hide my phone,0
2343,2343,talks like you and I do. ,4
690,690,"I started her in swim class as a mommy and me type of class.  She was very comfortable and the instructors quickly recommended she move on to the next class with  me out of the water and her working with an instructor directly (not one on one, there is another child in the class but no parents).  I think giving her time away from me with another adult she can trust gives her a different sense of confidence and esteem.  ",0
408,408,Save money to put him in an activity,0
2167,2167,There just aren't enough activities available that are adaptive.,4
568,568,The activities he learns at preschool and at home that are applied at preschool. ,0
2134,2134,Need more time in day aside from therapy.,4
2452,2452,"Sometimes, he is coughing while taking food/water.",4
1876,1876,"When preparing meals, that he would indicated to me his wants and needs. ",2
2198,2198,Have not been able to due to COVID ,4
339,339,Host events outside of naptime,0
2489,2489,as she has demonstrated her unwillingness to go back to her dad's for almost half a year. ,4
2606,2606,an almost 4 year old on the autism spectrum.,4
1964,1964,Practise,3
2272,2272,Better understanding from others. ,4
1520,1520,Allow as much self-exploration as is safe and possible,1
1999,1999,"Hand-over-hand guidance, i.e. holding her hand while stirring",3
540,540,Save money to afford to put him in activities,0
742,742, peers  participating -  tends to follow the group,0
95,95,Showing his where his toys go,0
2856,2856, if there is one with this diagnosis...,4
1556,1556,Allow child to be in charge of completing activity,1
496,496,High chairs and diaper changing stations,0
2961,2961,I wish you well.,4
335,335,"Use of positioning equipment. Wheelchair, stander, special tomato seat, adjustable bed, bath chair, neck floatation ring, bean bag chair, floor mats, rolls, pillows, etc",0
359,359,Mom demonstrates the work so [name] can participate well e.g. shows [name] how to fold dresses; comb hair,0
944,944,We keep going out so she knows the expected norms of participation and each time we go out she participates a little bit more,0
2847,2847,he is remarkable.,4
617,617,Sign him up for more classes,0
245,245,Plan weekend activities with whole family.,0
1166,1166,Have the visitor attempt to engage the in conversation.,0
438,438,"Organize, plan and get ideas for parties",0
2476,2476,"but she still as headlice, ",4
2686,2686,the symptoms seem to get worse ,4
2434,2434,"my son (16 nearly 17) has struggled with the syndrome, unrecognised for all his school career.",4
1842,1842,Having her observe yhe desired behavior,2
696,696,We have the same routine every morning for school. ,0
2421,2421,no longer has tantrums as before.,4
2631,2631,right at this moments ,4
338,338,Needs to change activities often to keep his attention,0
2474,2474,He said if her boobs start to grow or she develops anymore symptoms to take her back sooner. ,4
2603,2603,"she became obsessed with the same drink, the same food....",4
132,132,Having another adult with us to help out.,0
2779,2779,in the same way as a 2 year old. ,4
2114,2114,Speech therapy!,4
2499,2499,she starts holding her tummy and moaning.,4
1149,1149,Model social langguage and how to play,0
537,537,Put mattress on living room floor to keep him safe,0
437,437,Plan fun activities and trips,0
2239,2239,Would like weather to get better so he can go outside,4
761,761,getting close to her when playing,0
2597,2597,she is totally aware of what we are going through.,4
2137,2137,"I don't think much will change in my daughter's care routines, until she ""catches up"" cognitively and understands more. ",4
932,932,Keep educated on events going on,0
2619,2619,the only thing I can think of is he has a head full of mosquito bites.,4
615,615,Having a parent's undivided attention (i.e. one parent is not struggling to get the attention of two boys). ,0
358,358,DSW and support workers,0
1435,1435,Encourage him independently. ,1
1161,1161,Bring [name] to a public event focused around children/families,0
1691,1691,Get him comfortable,1
1775,1775,Motivational Rewards for taking care of their toys,2
2720,2720,i also have a 5 week old newborn.,4
1347,1347,We read books together,0
2565,2565," They are firm, for sure.",4
562,562,"We bring activities when we dine out, and try to keep the meal short",0
162,162,Attend local church ,0
2408,2408,She listened to the symptoms ,4
2996,2996,"he loves to ""serve"", wants to surprise me by bringing me breakfast in bed, etc. ",4
2880,2880, it started as a baby ,4
574,574,look into baby/toddler classes in the area,0
1976,1976,Mediate to help her use her words to express herself so as to not get frustrated and physical,3
642,642,"Getting rest: [name] has a very hard time falling asleep and staying asleep at night. His pediatrician recommended melatonin. This has helped a lot. He still wakes up at night and wakes very early in the morning, but is getting more sleep than he use to.",0
3078,3078,my son struggles with personal hygiene,4
2463,2463,I know this too well as an ADULT with Dyspraxia,4
494,494,Ask therapists for activities that will stimulate and teach [name] brain.,0
1452,1452,Involve the child and family in an activity such as a board game.,1
2082,2082,"I have been doing most of those routines for him (i.e. put his clothes on, brush his teeth, etc). My next step/strategy is to teach him how to do them on his own or help me do it together.",3
1630,1630,Extra encouragement when he does it as requested,1
2042,2042,"Teach him more, how to do things himself",3
3015,3015,he over-reacts to being touched. ,4
955,955,Take [name] to a mother/daughter yoga class,0
2107,2107,"That he will show interest in helping others with playing or completing a task, specifically his siblings.",4
1356,1356,Be more organized so that I can focus 100% on her,0
884,884,Have aide in classroom to bridge gaps,0
1319,1319,having other children around,0
305,305,University programs that offer classes with interns for a reduced rate.,0
2512,2512,All was fine ,4
3052,3052,The hospital diagnosed viral gastroenteritis.  ,4
1560,1560,"help setting table, cleaning up table, etc.",1
3081,3081,he always says he never did anything to cause the bullying.,4
2496,2496, It could all be psychological ,4
2780,2780,using an ABA therapist to help her.,4
2254,2254,Getting rest: [name] has a hard time relaxing and resting. He no longer takes naps. When his younger brother naps he has quiet time by watching tv or doing something quiet.,4
1990,1990,Practice on a daily basis.,3
1496,1496,Ask them to help,1
1597,1597,Praise.,1
1731,1731,reward for finishing food,2
1406,1406,"We are trying to get our son to be more involved in personal care management.  For example, giving him the chance to pick out his own clothes.",1
1778,1778,Make her sit down for activities to encourage her to stay,2
534,534,Visual prompting.,0
1430,1430,let her take an item that made her feel comfortable ,1
1202,1202,give her age appropriate jobs to do ,0
2498,2498,the best way to go about it? ,4
409,409,Parents or grandparents having time to go to events,0
1055,1055,"Singing songs ""clean up clean up everybody everywhere...clean up clean up... everybody do your share""",0
2401,2401, if someone is trying to palm you off.,4
1141,1141,If it is a sequence of events we will try and go back to where a step was missed,0
1808,1808,Consequences of losing the toys they don't take care of,2
886,886,sign up more activities,0
3065,3065,really takes a toll on me sometimes,4
2970,2970,and will just sit messing around ,4
490,490,"[name] is very into movies and toy review clips on YouTube. We have limited the amount of time he can watch his toy review videos to 3 x a day. Morning, afternoon and evening.",0
2992,2992,he had a blockage in both his ears ,4
2786,2786,"And, she could be overwhelmed by the arrangements ",4
1991,1991,"Helping a child to participate in cleaning up, meal preparation, taking care of pets and household chores",3
1886,1886,Make it look like more like a game than a chore. Rewarding for being involved and helpful,2
396,396,Allowing opportunities each day for personal care and toileting,0
1221,1221,Have more scheduled activities throughout the day for him,0
43,43,Sit on knee when reading books,0
2898,2898,it must be really hard on you ,4
2161,2161,"If we had more family or outside help, we'd likely have him in one lesson/activity a week but we can't afford the time now with all of his therapy and his brothers' activities as well",4
1076,1076,Emailing and open communication with her teacher.,0
26,26,When using the toilet providing her with a wet cloth so she can keep herself clean and if she needs help she will ask or respond to someone who is helping her if she needs the help,0
90,90,Make sure background noise is at a minimum,0
1700,1700,"Allow him to help bake (measure out ingredients, choose what he wants to bake, etc)",1
1673,1673,we give a variety of fruits and veggies so she can learn that new foods are fun and good for you,1
734,734,"Show him specifically what is expected of him in regards to tasks, duties and chores.",0
446,446,He has therapists that come in to work with him.,0
2280,2280,"We had a family vacation this summer where we stayed in a hotel and flew out the next day.  We had lots of energy but we had our favourite movies, snacks and bear with us.",4
1548,1548,"Our son loves to mix ingredients, so we get out our stool and apron, and he helps to make meals.",1
1260,1260,We attempt to incorporate sports with unstructured playtime.,0
369,369,One parent is consistently with the child one on one.,0
2580,2580,there has been no sickness and her poop is starting to get harder and browner lol,4
1051,1051,Adequate transportation ,0
1897,1897,He likes putting stuff in so loading the dryer is a good task to practice start to finish.,2
570,570,Talk through in steps what we will be doing before getting there,0
2005,2005,Understand the concept,3
2560,2560,In many pregnancies these days ,4
1296,1296,"Having more time, money and choices available in a community",0
297,297,Not enrolling in daycare full time so we can take advantage of what they offer most of the time (rather that going for a less quality daycare full time),0
2761,2761,However she does have a tummy,4
175,175,Modeling for her what to say to guests and friends.,0
1564,1564,Try and get him to interact rather then be in control.,1
377,377,Making games easier/more at her level,0
293,293,Make sure he has enough rest to do the things he wants to do. ,0
2801,2801,he doesn't respond well back to them. ,4
2349,2349,"If there had been a diagnosis and support for my brother, ",4
68,68,"Regarding meal preparation, he will engage briefly in the activity. Helps when his sister is involved and engages him too.",0
1207,1207,Keep almost all therapy styles play based. ,0
1872,1872,"Modeling appropriate imaginitive play with a doll, encouraging her to mimic the behavior.",2
166,166,cue him before event,0
1546,1546,Regardless of how little he will interact with the other children I always take him to parties for exposure on social gatherings.,1
1698,1698,Continue to put one thing on her plate for her to try. ,1
1295,1295,"Make sure she has age appropriate books, toys, activities",0
1342,1342,"Music is where he is most successful. Provide structured piano time (i.e., verbal direction to play specific songs, working on his fingering). Access to music player and piano for entertainment is always provided.",0
822,822,show child how to participate and be involved in activities,0
