,label,ID,strategy,augmented_strategy
0,0.0,02-067,"Getting clean - we gie her a clothe to wash her body in tub and after meals, although she has difficulty with movement due to cerebral palsy", 
1,3.0,02-067,Physio/occupation therapy once a week to build skills to help with movement of her limbs, 
2,0.0,02-067,We arrange playdates outside of house with peers and family, 
3,3.0,02-067,"More ""chair time"" to work on hand-ee coordination to help with seated activities", 
4,0.0,02-067,"Participate in activities with her, sometimes hand-over-hand doing the task", 
5,0.0,02-067,Provide her with toys and equipment to optimize her opportunity to use muscles effected by cerebral palsy, 
6,1.0,02-067,"Give her clean laundry to ""shake"" while I fold it", 
7,0.0,02-067,Role model/hand over hand during difficult activities, 
8,0.0,02-067,OT/PT once a week as well as daily at home working on the activities, 
9,4.0,02-067,Rest - I would like her to be able to calm & fall asleep on her own - right now someone needs to lay with her to fall asleep, 
10,0.0,02-067,"Personal care - we talk her through diaper changes, getting dressed and rushing teeth and hair, she will attempt tooth and hair brushing and will unfasten left side of diaper when asked (right side more affected by CP)", 
11,0.0,02-067,Trying to put her to nap alone (this would be more helpful during rest time as she requires someone to lay with her at the moment), 
12,0.0,02-067,go to holiday gatherings at family members house, 
13,4.0,02-067,She has been wanting to throw away diapers after diaper change, 
14,0.0,02-067,Personal care - I would like her to hold own tooth brush/hair brush to help self-groom. We provide her with two opportunities to do this daily, 
15,0.0,02-067,Provide her with a walker/stander, 
16,0.0,02-067,Just started allowing TV time 2 weeks ago but she enjoys looking at pictures of herself on smart phones and will use her pointer finger to swipe to next picture, 
17,1.0,02-067,Include her in meals and social gatherings even though she does not eat like rest of family, 
18,3.0,02-067,Doing hand over hand with hygene type activities (brushing teeth and hair, 
19,0.0,02-067,Mealtime - Provide her with 3 opportunities a day to sit in hightchair & practice fine moto skills with meal time., 
20,0.0,02-067,Have her therapeutic equipment available and utilize them, 
21,0.0,02-067,Provide opportunities to help with household chorse based on her physical skill snad limitations due to her cerebral palsy, 
22,0.0,02-067,Put her in her seated chair & walker to build strength for movement, 
23,0.0,02-067,Allowing opportunities each day for personal care and toileting, 
24,0.0,02-067,We have family day with her 2 cousins every other Sunday at her father's parents house., 
25,0.0,02-067,Talk her through me tidying toys or any other clean up so she knows and recognizes what I'm doing and what to expect next, 
26,0.0,02-067,"Mealtime - she is provided with 3 opportunities per day to sit in high chair with puree on tray, she will touch and attempt to feed though maority of nutrients are provided b G-J feeding tube.", 
27,1.0,02-067,Give her cloth to wipe her high chair tray after meal time., 
28,0.0,02-067,"Bring her to physiotherapy and occupational therap once a week to improve her hand-eye coordination and muscle control by doing puzzles, block and other toys with buttons to press", 
29,3.0,02-067,"We have been practiving ""IN"" & ""OUT"" and ask her to put toy ""in"" bucket to clean up", 
30,0.0,02-067,Read to her almost daily and talk about what picutres are in books, 
31,0.0,02-067,Provide opportunities daily, 
32,2.0,990,During meals provide a varied of favorite foods with addition of new foods, 
33,2.0,990,Taking him to events that child is interested in, 
34,3.0,990,"Helping a child to participate in cleaning up, meal preparation, taking care of pets and household chores", 
35,2.0,990,Make it look like more like a game than a chore. Rewarding for being involved and helpful, 
36,0.0,990,Providing a wide variety of toys and snacks during shopping and errands, 
37,2.0,990,"Creating a routine that is familiar to a child but make it more interesting, fun, exciting and more like a game than a chore", 
38,1.0,990,Providing reassurance and a variety of entertainment. Making child feel safe during dr visits, 
39,0.0,990,"Playing games with a child , trying to involve other family members", 
40,0.0,990,Having other kids participate and asking a child to copy them, 
41,0.0,990,"For parents to have more time to participate in community activities, gatherings and events. Taking a child to all those more often", 
42,2.0,990,"Creating a pleasant and fun environment by having his favorite toys, books, games.", 
43,0.0,990,"Choosing a right time of the day for dining out, hair cuts, errands. Not when a child is sick, tired, moody or hungry", 
44,2.0,990,Making it fun and interesting. , 
45,0.0,990,Having other kids to participate in the same activities and making a child follow them. Making it interesting, 
46,0.0,990,Having other kids participate in the same activities and be a model for expected behavior and actions. , 
47,0.0,990,"Having more time, money and choices available in a community", 
48,0.0,990,"Hiving a child to participate in group activities, family gathering. Trying to create those as often as possible", 
49,2.0,990,Same as above. Keeping it fun and interesting. Familiar but still coming up with new activities., 
50,0.0,990,Providing with a wide variety of familiar and new toys during travel, 
51,0.0,990,"Providing a vide selection of colorful books, coloring supplies, supplies for an art projects. Making it interesting", 
52,0.0,990,having more money to spare for community activity, 
53,2.0,990,To have more choices available in the community , 
54,2.0,990,"Showing a child how much you are interested and excited about regular chores, trying to get him involved and reward if he complies", 
55,1.0,990,"Making a child feel safe and welcome, a part of the community. ", 
56,1.0,893,Reminding him that he can cover his ears if noise is too loud, 
57,0.0,893,Schedule more play date, 
58,4.0,893,Getting rest: [name] has a hard time relaxing and resting. He no longer takes naps. When his younger brother naps he has quiet time by watching tv or doing something quiet., 
59,0.0,893,"Make sure [name] has snacks throughout the day, I have noticed when he has not eaten his behaviors are aorse", 
60,2.0,893,Screen time: I have been trying to have [name] do painting ot coloring during quiet time instead of watching tv., 
61,0.0,893,"Had to take [name] to the ER recently and he screamed all the way in,while there and on the way out. I think the unknown and new environment made him very scared. To help him I asked for a blanket for him to hold onto and talked about all of his favorite movies and characters", 
62,2.0,893,"I cut [name]'s hair at home and he really hates it. It is quite the struggle to get it cut, using a reinforcement like watching an extra video clip has helped", 
63,0.0,893,"Getting rest: [name] has a very hard time falling asleep and staying asleep at night. His pediatrician recommended melatonin. This has helped a lot. He still wakes up at night and wakes very early in the morning, but is getting more sleep than he use to.", 
64,0.0,893,"Schedule play date with new friends, so he can meet others", 
65,3.0,893,"Getting dressed, [name] has been practicing dressing himself and can now get dressed by himself with assistance.", 
66,1.0,893,When I change his brothers diaper I ask [name] to throw away the dirty diaper or get the wipes for me. Sometimes he will help but not often. I will keep asking, 
67,0.0,893,When he does have friends over or goes to their house to play I try to encourage interaction between [name] and peers, 
68,0.0,893,Let [name] play outside more often and explore outdoors, 
69,4.0,893,"Getting rest: During his baby brothers nap, [name] watches a tv show or paints/colors for rest time since he will no longer takes naps", 
70,1.0,893,"When [name] goes to play groups his conversation with children is awkward, he only wants to talk about what he is interested in. I encourage and help [name] to talk about other things.", 
71,0.0,893,Invite more people over for him to play with, 
72,0.0,893,Make sure the grocery store I shop at has a car cart so [name] is happy during shopping trip, 
73,0.0,893,Talk through in steps what we will be doing before getting there, 
74,0.0,893,"[name] is very into movies and toy review clips on YouTube. We have limited the amount of time he can watch his toy review videos to 3 x a day. Morning, afternoon and evening.", 
75,1.0,893,Taking a bath: [name] does not like his hair washed or touched. We have started to let him try to dump water on his head himself to wash hair and this seems to make it a little more bearable, 
76,0.0,893,Take him to more events , 
77,4.0,893,When I bring groceries home [name] likes to help carry the grocery bags from the door to the kitchen table, 
78,0.0,893,"We have no family in town, but we FaceTime almost daily with grandparents", 
79,0.0,893,Take [name] to more playgrounds, 
80,2.0,893,[name] has a hard time with transitions at doctor appointments and sometimes it takes a lot of reinforcement to help him through it, 
81,0.0,893,I need to invite more of his peers over to our place to play or to meet at a park, 
82,1.0,893,Give him more opportunities to help set the table, 
83,2.0,893,Use a chore chart for reinforcement, 
